tv,radio,newspaper,sales,lnsales,lntv,lnradio,lnnews,region1,region3,region2
230.1,37.8,69.2,22100.0,10.003333,5.438514,3.6323092,4.237001,0.0,0.0,1.0
44.5,39.3,45.1,10400.0,9.249561,3.795489,3.6712246,3.8088822,0.0,0.0,1.0
17.2,45.9,69.3,9300.0,9.13777,2.8449094,3.8264651,4.238445,0.0,0.0,1.0
151.5,41.3,58.5,18500.0,9.825526,5.0205855,3.7208624,4.069027,0.0,0.0,1.0
180.8,10.8,58.4,12900.0,9.464983,5.1973915,2.3795462,4.067316,1.0,0.0,0.0
8.7,48.9,75.0,7200.0,8.881836,2.163323,3.8897774,4.317488,0.0,0.0,1.0
57.5,32.8,23.5,11800.0,9.3758545,4.051785,3.4904284,3.1570003,0.0,0.0,1.0
120.2,19.6,11.6,13200.0,9.487972,4.789157,2.9755297,2.4510052,1.0,0.0,0.0
8.6,2.1,1.0,4800.0,8.476371,2.1517622,0.7419373,0.0,1.0,0.0,0.0
199.8,2.6,21.2,10600.0,9.268609,5.297317,0.9555114,3.0540013,0.0,1.0,0.0
66.1,5.8,24.2,8600.0,9.059518,4.191169,1.7578579,3.1863527,0.0,0.0,1.0
214.7,24.0,4.0,17400.0,9.764226,5.3692417,3.1780539,1.3862944,0.0,0.0,1.0
23.8,35.1,65.9,9200.0,9.126959,3.1696856,3.558201,4.1881385,0.0,0.0,1.0
97.5,7.6,7.2,9700.0,9.179881,4.5798526,2.0281482,1.974081,0.0,1.0,0.0
204.1,32.9,46.0,19000.0,9.852194,5.31861,3.4934728,3.8286414,0.0,1.0,0.0
195.4,47.7,52.9,22400.0,10.016816,5.2750487,3.8649313,3.9684033,0.0,0.0,1.0
67.8,36.6,114.0,12500.0,9.433484,4.2165623,3.6000483,4.7361984,0.0,0.0,1.0
281.4,39.6,55.8,24400.0,10.102339,5.639777,3.6788292,4.021774,0.0,0.0,1.0
69.2,20.5,18.3,11300.0,9.332558,4.237001,3.0204248,2.9069011,0.0,0.0,1.0
147.3,23.9,19.1,14600.0,9.588777,4.992471,3.1738784,2.9496884,0.0,0.0,1.0
218.4,27.7,53.4,18000.0,9.798127,5.386328,3.3214324,3.9778109,1.0,0.0,0.0
237.4,5.1,23.5,12500.0,9.433484,5.4697466,1.6292405,3.1570003,0.0,0.0,1.0
13.2,15.9,49.6,5600.0,8.630522,2.580217,2.766319,3.9039907,1.0,0.0,0.0
228.3,16.9,26.2,15500.0,9.648595,5.4306607,2.8273137,3.2657595,0.0,0.0,1.0
62.3,12.6,18.3,9700.0,9.179881,4.1319613,2.533697,2.9069011,0.0,0.0,1.0
