sch_code,api99,edparent,meals,englearn,yearround,credteach,emerteach,avg_ed_raw,pct_af_am,pct_am_ind,pct_asian,pct_fil,pct_hisp,pct_pac,pct_white,mobility
130054,633,12.78,21,6,0,88,13,2.89,6,1,12,9,30,3,39,0.0
130062,646,13.42,16,17,0,86,24,3.21,5,1,27,6,17,1,43,12.0
130096,797,14.9,1,2,0,100,4,3.95,1,1,9,2,5,0,81,0.0
130229,693,13.66,0,18,0,93,7,3.33,5,1,33,7,10,1,38,7.0
130450,773,14.94,0,9,0,98,7,3.97,8,0,28,1,9,1,46,0.0
130583,788,14.54,3,2,0,100,0,3.77,3,1,9,1,7,0,79,25.0
130849,642,12.88,14,6,0,91,9,2.94,4,1,13,7,25,1,49,10.0
131177,728,14.5,0,9,0,89,15,3.75,36,0,10,1,10,0,40,9.0
132092,433,11.8,48,27,0,83,17,2.4,63,0,6,0,28,1,1,13.0
132225,723,13.82,0,3,0,88,11,3.41,4,1,17,3,11,1,62,9.0
132704,726,12.22,11,2,0,96,8,2.61,5,2,7,4,13,1,68,
132746,443,13.14,19,7,0,81,19,3.07,75,0,18,0,6,0,2,10.0
132878,589,13.04,0,21,0,94,8,3.02,24,1,18,14,13,2,24,18.0
133132,442,11.24,50,49,0,86,14,2.12,34,0,15,1,48,1,1,7.0
133397,760,14.04,5,3,0,100,0,3.52,2,1,3,3,10,1,81,
133629,586,12.86,27,13,0,84,13,2.93,23,2,6,3,32,2,32,7.0
134270,692,13.64,9,5,0,73,26,3.32,4,1,17,7,14,1,57,11.0
134452,689,13.12,16,23,0,77,23,3.06,5,0,27,9,18,0,40,12.0
134536,729,13.98,7,5,0,100,0,3.49,3,0,5,2,12,0,77,7.0
134668,665,13.36,23,16,0,94,0,3.18,13,0,23,18,25,2,20,13.0
134791,386,11.6,55,14,0,76,16,2.3,79,0,9,1,11,0,1,18.0
135244,888,15.3,1,4,0,93,20,4.15,1,0,49,2,3,0,44,4.0
135319,591,12.68,29,18,0,85,13,2.84,15,1,12,14,33,5,21,5.0
135905,516,11.02,56,46,0,88,8,2.01,29,0,54,1,11,0,4,10.0
136051,506,12.34,39,19,0,92,12,2.67,61,1,20,1,12,0,5,18.0
136515,906,16.0,0,1,0,94,4,4.5,2,0,23,0,2,0,73,4.0
137588,562,12.46,23,21,0,82,18,2.73,18,1,14,8,26,1,32,0.0
137810,546,12.32,20,10,0,87,13,2.66,27,1,9,5,33,2,24,16.0
137943,613,12.96,28,15,0,78,16,2.98,50,1,24,2,11,1,11,13.0
138339,531,12.02,44,29,0,85,10,2.51,18,1,11,9,39,7,16,8.0
138693,767,13.94,11,8,0,75,26,3.47,5,0,18,4,13,1,59,13.0
330753,750,13.5,0,0,0,95,5,3.25,1,2,1,0,5,0,91,3.0
334755,722,13.52,12,1,0,96,8,3.26,1,4,0,0,9,1,85,6.0
430827,616,12.74,42,9,0,94,0,2.87,0,0,3,0,20,0,77,50.0
431676,702,13.8,16,14,0,97,3,3.4,2,2,9,0,16,0,70,7.0
433201,763,14.08,12,0,0,100,0,3.54,0,1,2,0,6,0,89,14.0
433953,596,12.36,0,9,0,93,10,2.68,0,1,6,0,31,0,61,
434803,590,12.46,35,8,0,97,3,2.73,2,6,10,0,10,0,71,100.0
435602,571,12.66,35,12,0,89,9,2.83,5,5,18,0,7,1,66,
437350,684,13.64,20,0,0,97,1,3.32,0,2,1,0,4,0,92,8.0
437558,722,14.14,6,5,0,100,1,3.57,2,2,4,0,8,0,83,5.0
531509,656,13.28,0,1,0,89,9,3.14,2,2,1,0,6,0,90,
532507,723,13.64,5,1,0,95,5,3.32,0,2,1,0,4,1,92,
631259,585,12.8,35,24,0,100,4,2.9,0,1,0,0,38,2,58,1.0
635250,512,10.94,45,35,0,90,10,1.97,3,0,1,0,58,0,36,9.0
637504,420,10.26,80,47,0,91,14,1.63,0,1,2,0,79,0,18,4.0
730044,834,15.32,2,3,0,94,6,4.16,2,0,18,3,4,0,73,6.0
730051,803,14.52,0,2,0,93,8,3.76,3,1,13,3,8,1,71,0.0
