local_govt_area,city_or_state,number_households,net_worth_per_hh,income_per_taxpayer,assets_per_hh,liabilities_per_household,debt_to_asset_ratio,net_owner_occ_housing
Peppermint Grove (S),Perth,563,1927.0,92564,2013.6,86.6,0.043,1406.0
Hunter's Hill (A),Sydney,4654,1530.1,100230,1647.6,117.5,0.071,932.6
Woollahra (A),Sydney,24191,1388.5,107488,1461.5,73.1,0.05,721.1
Mosman (A),Sydney,12209,1386.5,118757,1482.3,95.8,0.065,758.7
Ku-ring-gai (A),Sydney,35201,1370.1,85743,1492.0,121.9,0.082,833.0
Pittwater (A),Sydney,21060,1178.0,64079,1301.9,123.9,0.095,717.9
Manly (A),Sydney,16455,1024.5,72226,1121.7,97.2,0.087,621.5
Nedlands (C),Perth,7774,1021.8,83431,1110.0,88.3,0.08,571.7
Willoughby (C),Sydney,24473,1000.6,76765,1104.5,104.0,0.094,563.5
Cottesloe (T),Perth,3290,985.9,92227,1066.5,80.6,0.076,488.7
Lane Cove (A),Sydney,12660,982.6,77200,1091.6,109.0,0.1,576.1
Lake Grace (S),WA Bal.,653,968.2,47776,1004.8,36.6,0.036,65.9
Bayside (C),Melbourne,34966,964.3,71223,1058.2,93.9,0.089,519.6
Strathfield (A),Sydney,10351,915.1,51951,1002.0,86.9,0.087,562.5
Concord (A),Sydney,10858,891.8,55800,1002.4,110.6,0.11,536.8
Mosman Park (T),Perth,3671,875.2,77751,945.2,70.0,0.074,463.4
Boroondara (C),Melbourne,60481,871.7,70101,958.9,87.3,0.091,434.5
Kogarah (A),Sydney,19860,850.0,51397,940.2,90.2,0.096,516.4
Drummoyne (A),Sydney,15011,849.0,63486,954.2,105.2,0.11,479.7
Stonnington (C),Melbourne,42122,839.7,79293,911.2,71.5,0.078,350.5
Warringah (A),Sydney,51045,837.8,57020,947.4,109.6,0.116,484.1
Sutherland Shire (A),Sydney,77018,835.0,53657,951.3,116.3,0.122,497.8
Baulkham Hills (A),Sydney,49152,812.2,56255,959.0,146.8,0.153,444.8
Kojonup (S),WA Bal.,844,810.2,42459,852.4,42.2,0.05,75.4
Conargo (A),NSW Bal.,555,804.0,38643,844.7,40.7,0.048,94.0
Gnowangerup (S),WA Bal.,554,787.8,43120,825.6,37.8,0.046,78.2
Dalwallinu (S),WA Bal.,518,784.4,44948,814.4,30.0,0.037,70.7
Claremont (T),Perth,3872,783.4,78738,860.5,77.2,0.09,371.6
Hornsby (A),Sydney,52580,776.5,58452,898.7,122.2,0.136,419.4
Waverley (A),Sydney,27478,760.6,67815,835.9,75.3,0.09,389.9
Queenscliffe (B),VIC Bal.,1306,756.2,45838,799.9,43.7,0.055,384.3
Kiama (A),NSW Bal.,7722,745.2,48971,818.0,72.8,0.089,452.0
Manningham (C),Melbourne,38715,743.6,52463,828.0,84.4,0.102,370.7
Coorow (S),WA Bal.,527,723.5,43397,782.4,58.9,0.075,112.2
Boyup Brook (S),WA Bal.,642,721.4,42289,764.5,43.1,0.056,65.3
Cambridge (T),Perth,9463,701.7,65544,790.5,88.8,0.112,356.1
Randwick (C),Sydney,49960,697.8,54582,778.7,80.9,0.104,388.3
Burwood (A),Sydney,11121,697.5,48919,778.7,81.2,0.104,380.8
North Sydney (A),Sydney,30961,693.7,80938,782.1,88.5,0.113,298.2
Yilgarn (S),WA Bal.,604,679.0,55400,723.9,44.9,0.062,43.5
Wingecarribee (A),NSW Bal.,16985,677.6,50279,751.7,74.1,0.099,343.3
Ryde (C),Sydney,38020,677.1,52515,772.7,95.6,0.124,371.0
Hurstville (C),Sydney,27761,674.2,47407,760.0,85.8,0.113,381.8
Dandaragan (S),WA Bal.,1136,654.3,43062,703.4,49.2,0.07,154.2
Wongan-Ballidu (S),WA Bal.,604,648.3,50843,685.1,36.8,0.054,56.6
Moyne (S),VIC Bal.,6187,647.0,39070,685.6,38.6,0.056,166.3
Bungil (S),QLD Bal.,846,646.3,40472,690.1,43.9,0.064,58.8
Barunga West (DC),SA Bal.,1080,639.2,43250,674.5,35.4,0.052,160.1
Walkerville (M),Adelaide,3015,636.9,66238,700.6,63.7,0.091,253.0
Burnside (C),Adelaide,17902,635.2,61024,703.9,68.8,0.098,288.3
Beverley (S),WA Bal.,731,634.0,45055,671.8,37.7,0.056,83.5
Rockdale (C),Sydney,35583,630.5,45106,710.4,79.9,0.112,349.5
Nillumbik (S),Melbourne,19107,625.9,50910,736.5,110.6,0.15,310.4
Surf Coast (S),VIC Bal.,8341,620.0,45050,682.7,62.7,0.092,310.8
Jerilderie (A),NSW Bal.,764,617.0,40855,646.5,29.5,0.046,54.6
Glen Eira (C),Melbourne,51208,608.0,52131,681.2,73.2,0.107,289.4
East Fremantle (T),Perth,2847,598.8,56838,688.0,89.2,0.13,306.0
Yarrowlumla (A),NSW Bal.,3866,598.0,51310,696.5,98.5,0.141,264.6
Northampton (S),WA Bal.,1307,596.5,40722,632.8,36.2,0.057,104.3
Monash (C),Melbourne,58690,592.3,47434,664.3,72.1,0.109,283.4
Leichhardt (A),Sydney,30193,591.9,68115,702.7,110.8,0.158,274.9
Robe (DC),SA Bal.,566,586.6,38108,619.2,32.6,0.053,173.3
Mornington Peninsula (S),Melbourne,55337,580.7,45942,650.6,69.9,0.107,274.0
Noosa (S),QLD Bal.,19555,574.0,40484,635.1,61.0,0.096,317.2
Byron (A),NSW Bal.,12391,573.0,37917,628.8,55.8,0.089,290.7
Moora (S),WA Bal.,955,567.3,44306,616.4,49.1,0.08,52.9
Tallaganda (A),NSW Bal.,1224,566.6,40913,612.0,45.4,0.074,189.0
Chittering (S),WA Bal.,1199,564.9,41571,640.4,75.5,0.118,169.2
Ashfield (A),Sydney,15946,562.3,49967,644.4,82.1,0.127,287.7
Gosford (C),Sydney,65570,562.0,46529,648.3,86.3,0.133,291.5
Gunning (A),NSW Bal.,965,559.9,42225,629.1,69.2,0.11,127.0
Lockhart (A),NSW Bal.,1329,558.1,40091,597.2,39.1,0.065,76.1
Gingin (S),WA Bal.,1727,557.8,40377,616.9,59.2,0.096,173.7
Wagin (S),WA Bal.,769,555.9,43659,587.3,31.4,0.053,59.1
Whitehorse (C),Melbourne,56094,553.7,48525,629.5,75.8,0.12,264.0
Urana (A),NSW Bal.,577,552.1,41451,572.6,20.5,0.036,105.6
Corangamite (S),VIC Bal.,6756,551.0,38031,584.2,33.2,0.057,100.7
Botany Bay (C),Sydney,13540,550.2,45066,630.5,80.3,0.127,304.0
Yorke Peninsula (DC),SA Bal.,4909,550.1,40253,587.2,37.2,0.063,154.0
Cleve (DC),SA Bal.,797,548.6,43665,586.0,37.5,0.064,100.2
Wollondilly (A),Sydney,13413,547.5,46946,666.9,119.4,0.179,255.2
Augusta-Margaret River (S),WA Bal.,4668,543.4,36710,602.7,59.3,0.098,195.7
Plantagenet (S),WA Bal.,1703,542.9,37138,582.5,39.6,0.068,79.8
Tumby Bay (DC),SA Bal.,1157,542.6,39898,577.4,34.8,0.06,155.1
Banyule (C),Melbourne,43654,541.8,48385,616.5,74.7,0.121,260.3
Crookwell (A),NSW Bal.,1730,536.6,40331,572.3,35.8,0.063,136.0
Tatiara (DC),SA Bal.,2728,535.4,38577,575.1,39.7,0.069,69.7
West Wimmera (S),VIC Bal.,2001,535.1,40790,559.1,24.0,0.043,74.9
Lacepede (DC),SA Bal.,920,534.6,39361,573.2,38.6,0.067,140.8
Bankstown (C),Sydney,58311,530.6,42367,611.3,80.7,0.132,292.3
Melville (C),Perth,36632,530.3,52660,603.7,73.4,0.122,259.1
Blue Mountains (C),Sydney,30034,529.9,48019,629.8,99.9,0.159,242.8
Great Lakes (A),NSW Bal.,14505,529.8,39741,569.0,39.3,0.069,281.7
Hawkesbury (C),Sydney,21973,529.7,45581,639.6,109.9,0.172,229.9
Taroom (S),QLD Bal.,1075,529.1,36612,559.4,30.3,0.054,41.1
Ballina (A),NSW Bal.,16053,527.5,40064,581.1,53.6,0.092,256.5
Walcha (A),NSW Bal.,1384,524.1,40326,556.5,32.5,0.058,62.9
Yankalilla (DC),SA Bal.,1684,524.1,36543,575.2,51.1,0.089,214.3
Lower Eyre Peninsula (DC),SA Bal.,1743,523.3,45067,573.8,50.5,0.088,174.9
York (S),WA Bal.,1347,522.9,41943,573.8,50.8,0.089,126.4
Wakool (A),NSW Bal.,1897,521.5,36441,558.4,37.0,0.066,85.2
Grant (DC),SA Bal.,3080,521.4,40842,581.2,59.8,0.103,136.2
Denmark (S),WA Bal.,1953,519.7,34610,572.4,52.7,0.092,158.6
Nannup (S),WA Bal.,524,518.8,38888,564.8,46.0,0.081,121.8
Moonee Valley (C),Melbourne,43564,518.2,48727,594.0,75.8,0.128,245.1
Loddon (S),VIC Bal.,3595,518.0,35598,541.0,23.0,0.043,76.3
Canterbury (C),Sydney,47104,513.3,41024,582.7,69.3,0.119,271.2
Towong (S),VIC Bal.,2420,510.4,36396,548.3,37.9,0.069,105.1
Esperance (S),WA Bal.,5048,510.4,41370,564.8,54.4,0.096,114.5
Camden (A),Sydney,16275,508.4,48287,651.1,142.6,0.219,234.8
Bland (A),NSW Bal.,2609,508.1,36215,539.2,31.1,0.058,86.4
Adelaide Hills (DC),Adelaide,14172,507.9,47619,587.3,79.4,0.135,226.2
Donnybrook-Balingup (S),WA Bal.,1792,506.6,39082,561.5,54.8,0.098,94.1
Busselton (S),WA Bal.,10639,505.9,39449,567.1,61.2,0.108,200.0
Murray (A),NSW Bal.,2627,503.0,40319,552.7,49.6,0.09,136.7
Severn (A),NSW Bal.,1231,502.5,35565,533.2,30.7,0.058,54.1
Eurobodalla (A),NSW Bal.,14899,502.0,38573,540.1,38.1,0.071,246.4
Port Phillip (C),Melbourne,43037,500.8,62839,579.9,79.1,0.136,184.7
Shoalhaven (C),NSW Bal.,36417,500.0,40643,547.8,47.9,0.087,262.9
Waggamba (S),QLD Bal.,1157,498.1,39613,549.0,50.9,0.093,57.8
Port Stephens (A),NSW Bal.,25152,497.1,43830,555.6,58.4,0.105,255.6
Wollongong (C),NSW Bal.,72712,496.7,47726,563.2,66.4,0.118,284.7
Unley (C),Adelaide,15658,495.8,58111,566.1,70.3,0.124,215.8
Kingston (C),Melbourne,53772,495.1,45015,572.5,77.5,0.135,236.6
Merredin (S),WA Bal.,1366,494.0,43962,543.0,49.0,0.09,55.0
Subiaco (C),Perth,7740,493.6,69973,566.8,73.2,0.129,189.2
Parramatta (C),Sydney,54451,492.3,45724,577.3,85.0,0.147,249.6
Carrathool (A),NSW Bal.,1315,492.1,38192,521.9,29.7,0.057,56.5
Evans (A),NSW Bal.,1919,489.5,44309,552.6,63.1,0.114,134.5
Coolah (A),NSW Bal.,1616,489.1,38395,522.0,32.9,0.063,71.2
Southern Grampians (S),VIC Bal.,6908,489.1,39154,521.0,31.9,0.061,115.0
Irwin (S),WA Bal.,1230,487.6,40663,543.6,56.0,0.103,131.0
Boorowa (A),NSW Bal.,984,487.4,38198,519.1,31.7,0.061,90.1
Lake Macquarie (C),NSW Bal.,71142,486.8,44865,550.4,63.6,0.116,262.5
