year,mfr,idmfr,nameplate,mpg,curbwt,hp,torque,fuel,d_truck,d_manual,time_d_manual,d_diesel,d_turbo,d_super,accel,base,lmpg,lcurbwt,lhp,ltorque
1980.0,FIAT,FIAT,SPIDER 2000 VELO,21.7,2455,111,149.2,G,0.0,1.0,1.0,0.0,0.0,0.0,10.655923,0.0,3.0773122,7.805882,4.7095304,5.0052876
1980.0,AMC,AMC,CONCORD,22.4,2807,90,176.3,G,0.0,0.0,0.0,0.0,0.0,0.0,14.224426,0.0,3.109061,7.939872,4.4998097,5.1721873
1980.0,AMC,AMC,CONCORD,24.6,2767,90,176.3,G,0.0,1.0,1.0,0.0,0.0,0.0,13.754526,0.0,3.2027464,7.925519,4.4998097,5.1721873
1980.0,AMC,AMC,CONCORD,20.4,2856,110,284.8,G,0.0,0.0,0.0,0.0,0.0,0.0,12.272388,0.0,3.0155349,7.957177,4.7004805,5.6517873
1980.0,AMC,AMC,CONCORD,20.5,2816,110,284.8,G,0.0,1.0,1.0,0.0,0.0,0.0,11.934726,0.0,3.0204248,7.943073,4.7004805,5.6517873
1980.0,AMC,AMC,CONCORD WAGON,22.4,2752,90,176.3,G,0.0,0.0,0.0,0.0,0.0,0.0,13.999632,0.0,3.109061,7.920083,4.4998097,5.1721873
1980.0,AMC,AMC,CONCORD WAGON,24.6,2712,90,176.3,G,0.0,1.0,1.0,0.0,0.0,0.0,13.542163,0.0,3.2027464,7.9054418,4.4998097,5.1721873
1980.0,AMC,AMC,CONCORD WAGON,20.4,2892,110,284.8,G,0.0,0.0,0.0,0.0,0.0,0.0,12.396765,0.0,3.0155349,7.9697037,4.7004805,5.6517873
1980.0,AMC,AMC,CONCORD WAGON,20.5,2852,110,284.8,G,0.0,1.0,1.0,0.0,0.0,0.0,12.052802,0.0,3.0204248,7.9557757,4.7004805,5.6517873
1980.0,AMC,AMC,PACER,20.4,3237,110,284.8,G,0.0,0.0,0.0,0.0,0.0,0.0,13.574024,0.0,3.0155349,8.082402,4.7004805,5.6517873
1980.0,AMC,AMC,PACER,20.5,3197,110,284.8,G,0.0,1.0,1.0,0.0,0.0,0.0,13.168087,0.0,3.0204248,8.069968,4.7004805,5.6517873
1980.0,AMC,AMC,PACER WAGON,20.4,3275,110,284.8,G,0.0,0.0,0.0,0.0,0.0,0.0,13.702153,0.0,3.0155349,8.094073,4.7004805,5.6517873
1980.0,AMC,AMC,PACER WAGON,20.5,3235,110,284.8,G,0.0,1.0,1.0,0.0,0.0,0.0,13.2892275,0.0,3.0204248,8.081784,4.7004805,5.6517873
1980.0,AMC,AMC,SPIRIT,22.4,2659,90,176.3,G,0.0,0.0,0.0,0.0,0.0,0.0,13.6175165,0.0,3.109061,7.8857055,4.4998097,5.1721873
1980.0,AMC,AMC,SPIRIT,24.6,2619,90,176.3,G,0.0,1.0,1.0,0.0,0.0,0.0,13.180854,0.0,3.2027464,7.870548,4.4998097,5.1721873
1980.0,AMC,AMC,SPIRIT,21.3,2859,110,284.8,G,0.0,0.0,0.0,0.0,0.0,0.0,12.282764,0.0,3.058707,7.958227,4.7004805,5.6517873
1980.0,AMC,AMC,SPIRIT,21.0,2813,110,284.8,G,0.0,1.0,1.0,0.0,0.0,0.0,11.9248705,0.0,3.0445225,7.9420066,4.7004805,5.6517873
1980.0,BMW,BMW,320 i,28.4,2540,101,135.6,G,0.0,0.0,0.0,0.0,0.0,0.0,11.96127,0.0,3.346389,7.8399196,4.6151204,4.9097095
1980.0,BMW,BMW,320 i,29.0,2500,101,135.6,G,0.0,1.0,1.0,0.0,0.0,0.0,11.627355,0.0,3.3672957,7.824046,4.6151204,4.9097095
1980.0,BMW,BMW,528 i,20.6,3250,169,230.5,G,0.0,0.0,0.0,0.0,0.0,0.0,9.637895,0.0,3.0252912,8.0864105,5.1298985,5.440251
1980.0,BMW,BMW,528 i,22.1,3210,169,230.5,G,0.0,1.0,1.0,0.0,0.0,0.0,9.470124,0.0,3.0955777,8.074026,5.1298985,5.440251
1980.0,BMW,BMW,633 CSi,18.9,3470,174,254.9,G,0.0,0.0,0.0,0.0,0.0,0.0,9.924027,0.0,2.939162,8.15191,5.159055,5.540871
1980.0,BMW,BMW,633 CSi,18.8,3430,174,254.9,G,0.0,1.0,1.0,0.0,0.0,0.0,9.7466135,0.0,2.9338567,8.140316,5.159055,5.540871
1980.0,BMW,BMW,733 i,18.9,3630,174,254.9,G,0.0,0.0,0.0,0.0,0.0,0.0,10.290762,0.0,2.939162,8.196988,5.159055,5.540871
