date,rm,rf,rko,rtgt,rwmt,rm_rf,rko_rf,rtgt_rf,rwmt_rf,rm_rf_sq,smb,hml
1983-05-01,0.0132,0.0069,-0.0678,0.022599,0.16438,0.0063,-0.0747,0.015699001,0.15748,3.969e-05,6.15,-1.4
1983-06-01,0.0378,0.0067000003,-0.01818,0.077348,0.09412,0.0311,-0.02488,0.070648,0.08742,0.00096721,0.9,-3.87
1983-07-01,-0.031600002,0.0074,-0.07407,-0.020513,0.04301,-0.039,-0.08147,-0.027913,0.03561,0.001521,1.48,5.57
1983-08-01,0.0035,0.0076,0.1,-0.08377,-0.03093,-0.0041,0.0924,-0.09137,-0.03853,1.681e-05,-4.28,5.55
1983-09-01,0.0161,0.0076,0.0,0.005714,0.03191,0.0085,-0.0076,-0.0018859999,0.024309998,7.2250004e-05,0.59,1.09
1983-10-01,-0.027999999,0.0076,0.03636,0.073864,-0.04124,-0.0356,0.02876,0.066263996,-0.04884,0.0012673599,-3.6,4.99
1983-11-01,0.0296,0.0069999998,0.07018,-0.058201,0.07527,0.0226,0.06318,-0.065201,0.06827,0.00051076006,2.06,-0.65
1983-12-01,-0.010499999,0.0073,-0.03279,-0.078652,-0.07,-0.0178,-0.040090002,-0.085952,-0.0773,0.00031683999,-0.28,1.69
1984-01-01,-0.012999998,0.0076,-0.05085,-0.030488,-0.08602,-0.020599999,-0.05845,-0.038088,-0.09362,0.00042435993,-0.41,7.61
1984-02-01,-0.0391,0.0070999996,0.01786,-0.006289,-0.09412,-0.0462,0.01076,-0.013389,-0.101220004,0.00213444,-1.69,3.31
1984-03-01,0.0134000005,0.0073,0.07018,-0.044304,0.02597,0.0061000003,0.06288,-0.051604,0.01867,3.7210004e-05,0.07,0.5
1984-04-01,0.0025000004,0.0081,0.0,0.02649,0.07595,-0.0056,-0.0081,0.01839,0.06784999,3.136e-05,-1.18,1.24
1984-05-01,-0.052300006,0.0078,0.0,-0.090323,0.04706,-0.060100004,-0.0078,-0.098123,0.03926,0.0036120105,0.05,0.23
1984-06-01,0.023400001,0.0075,0.06557,0.184397,0.11236,0.0159,0.058069997,0.176897,0.10486,0.00025281002,-0.25,-2.63
1984-07-01,-0.020600002,0.0082,0.03077,0.053892,-0.0202,-0.028800001,0.02257,0.045692,-0.0284,0.0008294401,-2.22,0.41
1984-08-01,0.11269999,0.0083,0.04478,0.051136,0.09278,0.104399994,0.036480002,0.042836,0.08448,0.010899358,-0.25,-1.88
1984-09-01,0.00040000025,0.0086,0.02857,-0.021622,-0.0283,-0.0082,0.01997,-0.030222,-0.0369,6.724e-05,0.22,5.32
1984-10-01,-9.999983e-05,0.01,0.02778,-0.016575,-0.01942,-0.0101,0.01778,-0.026575,-0.02942,0.000102009995,-1.14,0.58
1984-11-01,-0.010699999,0.0073,-0.02703,0.0,-0.05941,-0.018,-0.03433,-0.0073,-0.066709995,0.00032399996,-0.63,4.03
1984-12-01,0.0237,0.0064,0.0,-0.044944,-0.04211,0.0173,-0.0064,-0.051344,-0.04851,0.00029929003,-0.57,-0.11
1985-01-01,0.0857,0.0064999997,-0.04167,0.141176,0.1978,0.0792,-0.048169997,0.134676,0.19129999,0.00627264,3.26,-5.39
1985-02-01,0.0169,0.0058,0.05797,0.030928,0.0,0.0111,0.052169997,0.025128001,-0.0058,0.00012320999,0.79,-0.17
1985-03-01,-0.0017000004,0.0062,0.12329,0.05,-0.01835,-0.007900001,0.11709,0.0438,-0.02455,6.241001e-05,-1.11,4.05
1985-04-01,-0.0021999995,0.0072000003,-0.02439,-0.02381,0.04673,-0.0094,-0.03159,-0.03101,0.03953,8.836e-05,0.19,3.74
1985-05-01,0.055800002,0.0066000004,-0.0125,0.165854,0.125,0.049200002,-0.019100001,0.159254,0.1184,0.0024206403,-2.27,-0.86
1985-06-01,0.017099999,0.0055,0.03797,-0.037657,0.03968,0.0116,0.03247,-0.043157,0.03418,0.00013456,0.52,0.49
1985-07-01,-0.0002999995,0.0062,0.03659,-0.082609,-0.0916,-0.0064999997,0.030389998,-0.088809,-0.0978,4.2249994e-05,2.85,-1.66
1985-08-01,-0.0047999993,0.0055,0.0,0.028436,0.04202,-0.010299999,-0.0055,0.022936,0.03652,0.00010608998,-0.35,2.24
1985-09-01,-0.0398,0.006,-0.02353,-0.041475,-0.07258,-0.0458,-0.02953,-0.047475003,-0.07858,0.00209764,-1.6,1.25
1985-10-01,0.0444,0.0064999997,0.03614,0.033654,0.10435,0.0379,0.029639998,0.027154,0.09785,0.00143641,-1.58,0.73
1985-11-01,0.0692,0.0061000003,0.16279,0.144186,0.11811,0.0631,0.15669,0.138086,0.11201,0.0039816103,0.22,-2.92
1985-12-01,0.0431,0.0064999997,0.02,0.02439,0.07746,0.0366,0.013499999,0.01789,0.07096,0.0013395601,-0.46,-1.53
