code,country,democracy,growth,constraint,indcent,catholic,muslim,protestant,other,world,colony,indyear,logem4,lpd1500s,madid
AFG,Afghanistan,0.15,-0.0848947,0.0,19.19,0.0,0.993,0.0,0.007000029,1,1,1919,4.540098,2.120264,3002
AGO,Angola,0.35,0.6444693,0.3333333,19.75,0.687,0.0,0.198,0.115000024,1,1,1975,5.634789,0.4054651,2011
ARE,United Arab Emirates,0.1,3.372619,0.3333333,19.71,0.004,0.949,0.003,0.044,1,0,1971,,0.0,3002
ARG,Argentina,0.9,2.713703,0.0,18.16,0.916,0.002,0.027,0.054999992,1,1,1816,4.232656,-2.210722,5001
AUS,Australia,1.0,3.986219,1.0,19.01,0.296,0.002,0.235,0.467,1,1,1901,2.145931,-3.648357,1009
AUT,Austria,1.0,3.347301,0.0,18.0,0.888,0.006,0.065,0.04099999,1,0,1800,,3.18532,1010
BDI,Burundi,0.45,0.3280602,0.1481481,19.62,0.7830001,0.009,0.049,0.15899989,1,1,1962,5.634789,3.218876,2011
BEL,Belgium,0.95,3.165714,0.6666667,18.3,0.9,0.011,0.004,0.08500002,1,0,1830,,3.639861,1015
BEN,Benin,0.8,1.161583,0.125,19.6,0.185,0.152,0.028,0.635,1,1,1960,5.585449,1.442202,2011
BFA,Burkina Faso,0.35,0.722393,0.2,19.6,0.09,0.43,0.016,0.464,1,1,1960,5.634789,1.442202,2011
BGD,Bangladesh,0.8,0.4302096,0.3148148,19.71,0.002,0.859,0.002,0.13699998,1,1,1971,4.268438,3.165475,3002
BGR,Bulgaria,0.9,2.38107,0.1851852,18.78,0.005,0.106,0.004,0.885,1,0,1878,,1.979144,2009
BHR,Bahrain,0.05,2.188017,0.0666667,19.71,0.008,0.95,0.009,0.03300001,1,0,1971,,0.0,3002
BOL,Bolivia,0.95,1.51428,0.3333333,18.25,0.925,0.0,0.023,0.051999986,1,1,1825,4.26268,-0.1863689,5001
BRA,Brazil,0.9,2.631244,0.0,18.22,0.878,0.001,0.04,0.08099998,1,1,1822,4.26268,-2.134937,1020
BTN,Bhutan,0.1,1.543368,0.0,19.07,0.0,0.05,0.0,0.95,1,1,1907,,,3002
BWA,Botswana,0.95,2.351604,0.6666667,19.66,0.094,0.0,0.268,0.638,1,1,1966,,-1.966113,2011
CAF,Central African Republic,0.75,0.4462757,0.0,19.6,0.331,0.032,0.5,0.137,1,1,1960,5.634789,0.4054651,2011
CAN,Canada,1.0,4.016289,1.0,18.67,0.466,0.006,0.296,0.23200001,1,1,1867,2.778819,-3.830918,1027
CHE,Switzerland,0.9,3.550565,1.0,18.0,0.528,0.003,0.432,0.036999993,1,0,1800,,3.007046,1141
CHL,Chile,0.95,2.855033,0.0,18.1,0.821,0.0,0.019,0.16000003,1,1,1810,4.232656,-0.2215423,5001
CHN,China,0.15,1.742018,0.0,18.0,0.0,0.024,0.0,0.976,1,0,1800,4.770685,2.46763,1032
CIV,Cote d'Ivoire,0.7,1.164257,0.0,19.6,0.185,0.24,0.047,0.528,1,1,1960,6.504288,1.442202,2011
CMR,Cameroon,0.3,0.9904609,0.3333333,19.6,0.35,0.22,0.181,0.24900001,1,1,1960,5.634789,0.4054651,2011
COG,"Congo, Rep.",0.2,1.676822,0.3833333,19.6,0.539,0.004,0.249,0.20800003,1,1,1960,5.480639,0.4054651,2011
COL,Colombia,0.85,2.196941,0.3333333,18.1,0.966,0.002,0.009,0.02299998,1,1,1810,4.26268,-0.0379699,5001
COM,Comoros,0.45,0.3387346,0.3166667,19.75,0.001,0.997,0.001,0.0010000209,1,1,1975,,1.500584,2011
CRI,Costa Rica,1.0,2.388829,0.3333333,18.21,0.905,0.0,0.058,0.03700003,1,1,1821,4.35799,0.4317824,5001
CUB,Cuba,0.15,1.449782,0.3333333,19.02,0.32,0.0,0.008,0.672,1,1,1902,,-0.7985078,5001
DEU,Germany,1.0,3.296905,0.3333333,18.71,0.35,0.0002,0.464,0.18580002,1,0,1871,,,1056
DJI,Djibouti,0.6,0.9795089,0.1666667,19.77,0.067,0.906,0.002,0.02499998,1,1,1977,3.258096,,2011
DNK,Denmark,0.9,3.43931,0.0,18.0,0.006,0.002,0.952,0.039999977,1,0,1800,,2.649074,1042
DOM,Dominican Republic,0.9,1.866842,0.3333333,18.44,0.966,0.0,0.014,0.019999979,1,1,1844,4.867535,0.3784365,5001
DZA,Algeria,0.35,1.908826,0.05,19.62,0.005,0.991,0.0,0.0040000034,1,1,1962,4.35927,1.945579,2011
ECU,Ecuador,0.8,1.700095,0.3333333,18.22,0.964,0.0,0.019,0.017000014,1,1,1822,4.26268,0.77349,5001
EGY,"Egypt, Arab Rep.",0.2,1.816061,0.75,19.22,0.002,0.818,0.002,0.17799999,1,1,1922,4.216562,4.609731,1046
ESP,Spain,1.0,3.139772,0.0,18.0,0.969,0.0,0.001,0.030000018,1,0,1800,,2.56607,1136
EST,Estonia,0.8,3.083397,1.0,19.18,0.02,1e-04,0.66,0.31989998,1,0,1918,,-0.3424903,4001
FIN,Finland,1.0,3.79856,1.0,19.17,0.001,0.0,0.931,0.068,1,0,1917,,1.294149,1051
FJI,Fiji,0.75,1.543368,1.0,19.7,0.09,0.078,0.391,0.44099998,1,1,1970,2.433613,,3002
FRA,France,0.85,3.353542,0.0,18.0,0.764,0.03,0.024,0.182,1,0,1800,1.05779,3.305705,1052
GAB,Gabon,0.3,2.239409,0.1333333,19.6,0.652,0.008,0.188,0.152,1,1,1960,5.634789,0.4054651,2011
GBR,United Kingdom,0.9,3.323291,1.0,18.0,0.131,0.014,0.161,0.694,1,0,1800,0.9360933,2.867391,1156
GHA,Ghana,0.6,1.128396,0.0,19.57,0.187,0.157,0.258,0.398,1,1,1957,6.504288,1.442202,2011
GIN,Guinea,0.45,0.322422,0.0,19.58,0.011,0.69,0.001,0.298,1,1,1958,6.180017,1.442202,2011
GMB,"Gambia, The",0.25,0.7713041,0.6666667,19.65,0.019,0.848,0.004,0.12900001,1,1,1965,7.293018,1.442202,2011
GNB,Guinea-Bissau,0.75,0.497128,0.3333333,19.73,0.102,0.383,0.006,0.509,1,1,1973,5.103883,1.442202,2011
GNQ,Equatorial Guinea,0.25,2.642492,0.0333333,19.68,0.7130001,0.005,0.049,0.23299988,1,1,1968,,0.4054651,5001
GRC,Greece,1.0,3.325555,0.0,18.21,0.004,0.015,0.001,0.98,1,0,1821,,2.048718,1058
GTM,Guatemala,0.9,1.791016,0.0,18.21,0.94,0.0,0.049,0.011000004,1,1,1821,4.26268,0.4317825,5001
GUY,Guyana,0.8,2.297351,0.8666667,19.66,0.18,0.09,0.18,0.54999995,1,1,1966,3.471345,-1.546463,5001
HND,Honduras,0.85,1.239843,0.3666667,18.21,0.958,0.001,0.026,0.014999995,1,1,1821,4.35799,0.4317824,5001
HTI,Haiti,0.4,0.3584127,0.0,18.04,0.826,0.0,0.128,0.04600002,1,1,1804,4.867535,0.2776319,5001
HUN,Hungary,0.9,2.666542,0.3333333,18.0,0.539,0.0,0.216,0.24500002,1,0,1800,,2.605422,2009
IDN,Indonesia,0.85,1.729825,0.7333333,19.45,0.027,0.434,0.011,0.528,1,1,1945,5.135798,1.453499,3002
IND,India,0.95,1.244725,1.0,19.47,0.013,0.116,0.048,0.823,1,1,1947,3.884241,3.165475,1066
IRL,Ireland,0.9,3.733696,1.0,19.21,0.953,0.0,0.011,0.03599999,1,0,1921,,2.452101,1070
IRN,Iran,0.65,2.122077,0.0,18.0,0.001,0.979,0.0,0.020000027,1,0,1800,,2.079442,3002
IRQ,Iraq,0.05,0.7654872,0.1666667,19.32,0.018,0.958,0.0,0.023999996,1,0,1932,,2.429218,3002
ISL,Iceland,1.0,3.455848,1.0,19.18,0.007,0.0,0.966,0.02699998,1,0,1918,,4.094345,1001
ISR,Israel,1.0,3.348109,1.0,19.48,0.01,0.08,0.002,0.908,1,0,1948,,2.120343,3002
ITA,Italy,0.95,2.835336,0.3333333,18.61,0.832,0.001,0.004,0.16299999,1,0,1861,,3.526556,1072
JAM,Jamaica,0.95,1.834831,1.0,19.62,0.096,0.001,0.555,0.348,1,1,1962,4.867535,1.530395,5001
JOR,Jordan,0.4,1.966512,0.3,19.46,0.017,0.93,0.003,0.049999993,1,0,1946,,3.729781,3002
JPN,Japan,1.0,3.740952,0.0,18.0,0.006,0.0,0.009,0.985,1,0,1800,,5.642579,1074
KEN,Kenya,0.4,0.9013543,0.4833333,19.63,0.264,0.06,0.193,0.483,1,1,1963,4.976734,0.969094,2011
KHM,Cambodia,0.6,0.649312,0.0,19.53,0.001,0.024,0.001,0.974,1,1,1953,,2.139786,3002
KOR,"Korea, Rep.",0.9,3.228899,0.2619048,19.45,0.039,0.0,0.122,0.839,1,0,1945,4.770685,3.701661,3002
KWT,Kuwait,0.15,2.889042,0.2083333,19.61,0.021,0.951,0.001,0.027000025,1,0,1961,,0.0,3002
LAO,Lao PDR,0.15,0.725378,0.6666667,19.49,0.008,0.01,0.002,0.98,1,1,1949,4.941642,0.549913,3002
LBR,Liberia,0.5,0.7157588,1.0,18.47,0.019,0.212,0.186,0.583,1,0,1847,6.180017,1.442202,2011
LBY,Libya,0.15,1.411033,0.3333333,19.51,0.002,0.981,0.001,0.015999993,1,1,1951,,2.653823,5001
LKA,Sri Lanka,0.75,1.858982,1.0,19.48,0.068,0.072,0.004,0.856,1,1,1948,4.245634,2.739077,3002
LSO,Lesotho,0.9,1.379378,0.45,19.66,0.435,0.0,0.298,0.267,1,1,1966,,-0.7105375,2011
LVA,Latvia,0.9,2.608489,1.0,19.2,0.182,1e-04,0.141,0.6769,1,0,1920,,-0.3424903,4001
MAR,Morocco,0.2,1.8937,0.1833333,19.56,0.002,0.994,0.0,0.003999982,1,1,1956,4.35927,2.206481,1098
MDG,Madagascar,0.85,0.5336061,0.3333333,19.6,0.26,0.017,0.22,0.503,1,1,1960,6.284209,0.1854006,2011
MEX,Mexico,0.9,2.832151,0.3333333,18.1,0.947,0.0,0.012,0.04099997,1,1,1810,4.26268,0.9630207,1095
MLI,Mali,0.8,0.7099972,0.2666667,19.6,0.007,0.8,0.002,0.19099998,1,1,1960,7.986165,0.0,2011
MMR,Myanmar,0.15,0.8677979,1.0,19.48,0.009,0.036,0.032,0.923,1,1,1948,3.543854,1.805529,3002
MNG,Mongolia,1.0,0.6468925,0.3333333,19.21,0.0,0.014,0.0,0.986,1,0,1921,,-0.9623347,3002
MOZ,Mozambique,0.8,1.241046,0.1666667,19.75,0.314,0.13,0.068,0.48799998,1,1,1975,,0.2432315,2011
MRT,Mauritania,0.2,0.8986678,0.4,19.6,0.003,0.994,0.0,0.0029999823,1,1,1960,5.634789,1.098612,2011
MUS,Mauritius,1.0,3.247667,1.0,19.68,0.312,0.164,0.009,0.515,1,1,1968,3.417727,,2011
MWI,Malawi,0.85,0.4954095,0.0,19.64,0.276,0.162,0.315,0.24700001,1,1,1964,,-0.2357223,2011
MYS,Malaysia,0.65,2.628924,1.0,19.57,0.028,0.494,0.014,0.46400002,1,1,1957,2.873565,0.1967755,3002
NER,Niger,0.7,0.1942644,0.3333333,19.6,0.002,0.879,0.0,0.118999995,1,1,1960,5.991465,0.0,2011
NGA,Nigeria,0.7,1.0266,0.6,19.6,0.121,0.45,0.158,0.271,1,1,1960,7.602901,1.442202,2011
NIC,Nicaragua,0.9,1.012197,0.0,18.21,0.947,0.0,0.044,0.008999974,1,1,1821,5.095589,0.4317824,5001
NLD,Netherlands,0.95,3.34532,0.0,18.0,0.426,0.01,0.424,0.14,1,0,1800,,3.27839,1102
NOR,Norway,1.0,3.639411,0.3333333,18.0,0.003,0.001,0.9779999,0.018000074,1,0,1800,,3.771729,1108
NPL,Nepal,0.8,0.5647783,0.0,18.0,0.0,0.03,0.0,0.97,1,0,1800,,2.638058,3002
NZL,New Zealand,1.0,3.68953,1.0,19.07,0.187,0.0,0.379,0.434,1,1,1907,2.145931,-0.9942523,1103
OMN,Oman,0.05,2.496103,0.0,18.0,0.001,0.989,0.001,0.008999977,1,0,1800,,0.0,3002
PAK,Pakistan-post-1972,0.2,1.218039,0.5,19.71,0.005,0.9680001,0.008,0.018999886,1,1,1971,3.610648,3.165475,3002
PAN,Panama,0.95,2.323307,0.3333333,19.03,0.85,0.045,0.052,0.052999973,1,1,1903,5.095589,0.4317824,5001
