earnings,education,age,gender
25000,14,30,0.0
40000,12,30,0.0
25000,13,30,0.0
38000,13,30,0.0
28800,12,30,0.0
31000,16,30,0.0
25000,12,30,0.0
20000,12,30,0.0
83000,16,30,0.0
10800,3,30,0.0
22000,12,30,0.0
24000,11,30,0.0
15000,12,30,0.0
19000,13,30,0.0
25000,9,30,0.0
105000,16,30,0.0
25000,14,30,0.0
36000,12,30,0.0
23000,13,30,0.0
75000,16,30,0.0
85000,20,30,0.0
60000,13,30,0.0
24000,13,30,0.0
20000,14,30,0.0
85000,13,30,0.0
62000,16,30,0.0
16000,13,30,0.0
13000,13,30,0.0
20000,13,30,0.0
39000,12,30,0.0
41000,16,30,0.0
32000,16,30,0.0
42000,12,30,0.0
45500,18,30,0.0
33000,16,30,0.0
40000,16,30,0.0
71000,16,30,0.0
29300,12,30,0.0
24000,16,30,0.0
38000,16,30,0.0
24500,12,30,0.0
32000,16,30,0.0
25000,13,30,0.0
40000,16,30,0.0
54000,18,30,0.0
19000,12,30,0.0
44800,16,30,0.0
53000,12,30,0.0
45000,16,30,0.0
17000,13,30,0.0
27000,14,30,0.0
36000,13,30,0.0
42000,16,30,0.0
24000,12,30,0.0
25000,14,30,0.0
21500,14,30,0.0
41000,16,30,0.0
27000,16,30,0.0
45000,18,30,0.0
9000,14,30,0.0
30000,16,30,0.0
30000,13,30,0.0
72000,16,30,0.0
50000,13,30,0.0
12000,13,30,0.0
32000,13,30,0.0
24000,12,30,0.0
65000,18,30,0.0
39000,16,30,0.0
54000,18,30,0.0
28000,12,30,0.0
56000,18,30,0.0
33720,16,30,0.0
30000,18,30,0.0
42000,13,30,0.0
47000,18,30,0.0
60000,14,30,0.0
25000,12,30,0.0
43000,16,30,0.0
27000,13,30,0.0
12000,12,30,0.0
24000,14,30,0.0
110000,20,30,0.0
45000,16,30,0.0
45000,18,30,0.0
84000,18,30,0.0
28000,13,30,0.0
34000,14,30,0.0
36000,11,30,0.0
41000,14,30,0.0
1050,11,30,0.0
24000,12,30,0.0
42000,18,30,0.0
28000,16,30,0.0
40800,18,30,0.0
38000,12,30,0.0
17000,9,30,0.0
28000,13,30,0.0
97000,20,30,0.0
10000,6,30,0.0
42000,12,30,0.0
75000,16,30,0.0
31000,12,30,0.0
80000,18,30,0.0
14900,12,30,0.0
90000,18,30,0.0
80000,18,30,0.0
140000,16,30,0.0
36000,12,30,0.0
65000,18,30,0.0
45000,16,30,0.0
24500,12,30,0.0
32000,6,30,0.0
27000,14,30,0.0
67000,13,30,0.0
40000,16,30,0.0
30000,13,30,0.0
20000,12,30,0.0
68000,14,30,0.0
30000,12,30,0.0
16000,16,30,0.0
28000,16,30,0.0
78000,16,30,0.0
85000,16,30,0.0
65000,13,30,0.0
21100,14,30,0.0
172000,18,30,0.0
30000,14,30,0.0
39000,18,30,0.0
37000,20,30,0.0
55000,18,30,0.0
45300,18,30,0.0
83000,16,30,0.0
47700,18,30,0.0
45000,13,30,0.0
58000,16,30,0.0
40000,18,30,0.0
25000,13,30,0.0
38000,18,30,0.0
48000,18,30,0.0
20000,12,30,0.0
84000,18,30,0.0
35000,12,30,0.0
25000,12,30,0.0
110000,14,30,0.0
80000,16,30,0.0
40000,12,30,0.0
22000,16,30,0.0
27000,12,30,0.0
20000,12,30,0.0
14000,14,30,0.0
12000,13,30,0.0
12000,12,30,0.0
30000,13,30,0.0
15600,13,30,0.0
32000,16,30,0.0
50000,18,30,0.0
68000,16,30,0.0
37500,12,30,0.0
75000,18,30,0.0
15000,12,30,0.0
24000,12,30,0.0
50000,18,30,0.0
40000,14,30,0.0
26200,12,30,0.0
85000,16,30,0.0
75000,18,30,0.0
30000,18,30,0.0
12000,13,30,0.0
40000,16,30,0.0
30000,12,30,0.0
