earnings,lnearnings,dearnings,gender,age,lnage,agesq,education,educsquared,agebyeduc,genderbyage,genderbyeduc,hours,lnhours,genderbyhours,dself,dprivate,dgovt,state,statefip,stateunemp,stateincomepc,year,pernum,perwt,relate,region,metro,marst,race,raced,hispan,racesing,hcovany,attainededuc,detailededuc,empstat,classwkr,classwkrd,wkswork2,workedyr,inctot,incwage,incbus00,incearn
120000.0,11.695247,1.0,0,45,3.8066626,2025.0,16.0,256.0,720.0,0.0,0.0,70,4.248495,0.0,1.0,0.0,0.0,Alabama ,Alabama,10.5,33945,2010,1,262.0,Head/Householder,East South Central Div.,"In metro area, central city","Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,4 years of college,Bachelor's degree,Employed,Self-employed,"Self-employed, not incorporated",50-52 weeks,Yes,120000,0,120000,120000
23000.0,10.043249,0.0,0,61,4.1108737,3721.0,16.0,256.0,976.0,0.0,0.0,50,3.912023,0.0,1.0,0.0,0.0,Alabama ,Alabama,10.5,33945,2010,1,142.0,Head/Householder,East South Central Div.,Not identifiable,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,4 years of college,Bachelor's degree,Employed,Self-employed,"Self-employed, not incorporated",50-52 weeks,Yes,23000,0,23000,23000
20000.0,9.903487,0.0,0,58,4.060443,3364.0,16.0,256.0,928.0,0.0,0.0,40,3.6888795,0.0,1.0,0.0,0.0,Alabama ,Alabama,10.5,33945,2010,1,84.0,Head/Householder,East South Central Div.,Not in metro area,Divorced,White,White,Not Hispanic,White,With health insurance coverage,4 years of college,Bachelor's degree,Employed,Self-employed,"Self-employed, incorporated",50-52 weeks,Yes,20000,20000,0,20000
55000.0,10.915089,0.0,1,58,4.060443,3364.0,14.0,196.0,812.0,58.0,14.0,40,3.6888795,40.0,0.0,1.0,0.0,Alabama ,Alabama,10.5,33945,2010,2,86.0,Spouse,East South Central Div.,Central city status unknown,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,2 years of college,"Associate's degree, type not specified",Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,55000,55000,0,55000
43200.0,10.673595,0.0,1,34,3.5263605,1156.0,18.0,324.0,612.0,34.0,18.0,40,3.6888795,40.0,0.0,1.0,0.0,Alabama ,Alabama,10.5,33945,2010,1,107.0,Head/Householder,East South Central Div.,Central city status unknown,Divorced,White,White,Not Hispanic,White,With health insurance coverage,5+ years of college,Master's degree,Employed,Works for wages,Wage/salary at non-profit,50-52 weeks,Yes,49100,43200,0,43200
110000.0,11.608235,1.0,0,59,4.0775375,3481.0,16.0,256.0,944.0,0.0,0.0,50,3.912023,0.0,0.0,1.0,0.0,Alabama ,Alabama,10.5,33945,2010,2,228.0,Spouse,East South Central Div.,Central city status unknown,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,4 years of college,Bachelor's degree,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,110000,110000,0,110000
44000.0,10.691945,0.0,1,25,3.218876,625.0,18.0,324.0,450.0,25.0,18.0,50,3.912023,50.0,0.0,1.0,0.0,Alabama ,Alabama,10.5,33945,2010,1,272.0,Head/Householder,East South Central Div.,Central city status unknown,Never married/single,White,White,Not Hispanic,White,With health insurance coverage,5+ years of college,Master's degree,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,44000,44000,0,44000
120000.0,11.695247,1.0,1,50,3.912023,2500.0,12.0,144.0,600.0,50.0,12.0,52,3.9512436,52.0,0.0,1.0,0.0,Alabama ,Alabama,10.5,33945,2010,2,96.0,Spouse,East South Central Div.,"In metro, area, outside central city","Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,Grade 12,Regular high school diploma,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,120000,70000,50000,120000
65000.0,11.082143,0.0,0,27,3.295837,729.0,16.0,256.0,432.0,0.0,0.0,40,3.6888795,0.0,0.0,1.0,0.0,Alabama ,Alabama,10.5,33945,2010,1,279.0,Head/Householder,East South Central Div.,Central city status unknown,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,4 years of college,Bachelor's degree,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,65000,65000,0,65000
7200.0,8.881836,0.0,1,28,3.3322046,784.0,14.0,196.0,392.0,28.0,14.0,40,3.6888795,40.0,0.0,1.0,0.0,Alabama ,Alabama,10.5,33945,2010,1,19.0,Head/Householder,East South Central Div.,Central city status unknown,Divorced,Black/Negro,Black/Negro,Not Hispanic,Black,With health insurance coverage,2 years of college,"Associate's degree, type not specified",Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,7200,7200,0,7200
