price,volume,date,year,month,day,hour,yearmonthday,countofday
26.9243,19647.2,2000-01-01,2000,1,1,15,20000101,641
27.9275,20147.5,2000-01-02,2000,1,2,15,20000102,642
41.9994,24370.4,2000-01-03,2000,1,3,15,20000103,643
33.0075,23500.5,2000-01-04,2000,1,4,15,20000104,644
30.4931,23326.2,2000-01-05,2000,1,5,15,20000105,645
30.0012,23220.8,2000-01-06,2000,1,6,15,20000106,646
33.8285,23200.7,2000-01-07,2000,1,7,15,20000107,647
29.8396,20858.6,2000-01-08,2000,1,8,15,20000108,648
28.4128,19847.0,2000-01-09,2000,1,9,15,20000109,649
32.0052,23273.2,2000-01-10,2000,1,10,15,20000110,650
30.5041,23286.5,2000-01-11,2000,1,11,15,20000111,651
32.0062,23597.7,2000-01-12,2000,1,12,15,20000112,652
31.5063,24038.5,2000-01-13,2000,1,13,15,20000113,653
30.4929,23225.9,2000-01-14,2000,1,14,15,20000114,654
27.1825,19908.4,2000-01-15,2000,1,15,15,20000115,655
27.8006,19772.1,2000-01-16,2000,1,16,15,20000116,656
31.8427,22684.8,2000-01-17,2000,1,17,15,20000117,657
30.9828,23125.0,2000-01-18,2000,1,18,15,20000118,658
33.5773,23640.5,2000-01-19,2000,1,19,15,20000119,659
31.7592,22808.7,2000-01-20,2000,1,20,15,20000120,660
28.9954,22887.0,2000-01-21,2000,1,21,15,20000121,661
26.4998,20634.3,2000-01-22,2000,1,22,15,20000122,662
27.41,19250.2,2000-01-23,2000,1,23,15,20000123,663
31.1616,22523.4,2000-01-24,2000,1,24,15,20000124,664
30.2406,22218.0,2000-01-25,2000,1,25,15,20000125,665
29.3051,23116.9,2000-01-26,2000,1,26,15,20000126,666
40.0343,22611.5,2000-01-27,2000,1,27,15,20000127,667
30.6583,22085.4,2000-01-28,2000,1,28,15,20000128,668
28.0042,19227.7,2000-01-29,2000,1,29,15,20000129,669
28.5281,20069.0,2000-01-30,2000,1,30,15,20000130,670
31.4538,21959.6,2000-01-31,2000,1,31,15,20000131,671
31.9318,21637.3,2000-02-01,2000,2,1,15,20000201,672
32.0047,22108.7,2000-02-02,2000,2,2,15,20000202,673
30.927,21994.7,2000-02-03,2000,2,3,15,20000203,674
32.4265,21724.7,2000-02-04,2000,2,4,15,20000204,675
29.4211,19551.5,2000-02-05,2000,2,5,15,20000205,676
29.3336,19521.1,2000-02-06,2000,2,6,15,20000206,677
32.9225,21450.9,2000-02-07,2000,2,7,15,20000207,678
29.9963,21517.3,2000-02-08,2000,2,8,15,20000208,679
31.7265,22040.5,2000-02-09,2000,2,9,15,20000209,680
32.0961,21482.5,2000-02-10,2000,2,10,15,20000210,681
31.2428,21128.7,2000-02-11,2000,2,11,15,20000211,682
28.7498,19547.7,2000-02-12,2000,2,12,15,20000212,683
31.4727,19220.7,2000-02-13,2000,2,13,15,20000213,684
33.7533,21003.0,2000-02-14,2000,2,14,15,20000214,685
34.0035,20702.8,2000-02-15,2000,2,15,15,20000215,686
31.6486,21019.4,2000-02-16,2000,2,16,15,20000216,687
33.0121,20585.7,2000-02-17,2000,2,17,15,20000217,688
32.7055,20166.7,2000-02-18,2000,2,18,15,20000218,689
