date,quarter,nomgdpannual,priceindex,population
Mar-1960,1,15672,7.66,10.23
Jun-1960,2,16684,7.62,10.273
Sep-1960,3,17296,8.22,10.344
Dec-1960,4,19464,8.21,10.397
Mar-1961,5,16944,8.02,10.459
Jun-1961,6,16616,7.97,10.516
Sep-1961,7,17180,8.26,10.579
Dec-1961,8,19276,8.2,10.638
Mar-1962,9,17060,7.97,10.689
Jun-1962,10,17644,7.97,10.732
Sep-1962,11,18352,8.32,10.795
Dec-1962,12,21132,8.28,10.848
Mar-1963,13,18628,8.0,10.906
Jun-1963,14,18824,8.18,10.944
Sep-1963,15,20360,8.53,10.994
Dec-1963,16,23252,8.45,11.051
Mar-1964,17,20200,8.24,11.099
Jun-1964,18,21200,8.23,11.158
Sep-1964,19,22152,8.85,11.233
Dec-1964,20,25400,8.62,11.279
Mar-1965,21,22228,8.65,11.341
Jun-1965,22,23008,8.62,11.39
Sep-1965,23,23700,9.02,11.438
Dec-1965,24,26712,8.85,11.514
Mar-1966,25,22924,8.84,11.554
Jun-1966,26,24188,8.8,11.607
Sep-1966,27,25860,9.38,11.649
Dec-1966,28,29352,9.13,11.703
Mar-1967,29,26492,9.21,11.764
Jun-1967,30,27016,9.37,11.808
Sep-1967,31,28040,9.57,11.861
Dec-1967,32,31708,9.34,11.92
Mar-1968,33,27680,9.77,11.972
Jun-1968,34,29392,9.51,12.026
Sep-1968,35,30720,10.02,12.094
Dec-1968,36,35848,9.73,12.144
Mar-1969,37,31372,9.92,12.217
Jun-1969,38,33072,9.98,12.267
Sep-1969,39,35172,10.62,12.35
Dec-1969,40,39236,10.37,12.401
Mar-1970,41,35496,10.16,12.463
Jun-1970,42,37712,10.55,12.537
Sep-1970,43,38780,10.95,12.607
Dec-1970,44,42408,10.79,12.667
Mar-1971,45,39040,11.02,12.792
Jun-1971,46,41248,11.47,13.07
Sep-1971,47,43148,11.76,13.139
Dec-1971,48,47268,11.7,13.203
Mar-1972,49,42440,12.0,13.246
Jun-1972,50,45312,12.14,13.311
Sep-1972,51,46712,12.63,13.362
Dec-1972,52,52600,12.66,13.405
Mar-1973,53,47704,12.58,13.46
Jun-1973,54,52224,13.0,13.502
Sep-1973,55,55492,14.32,13.561
Dec-1973,56,65388,14.17,13.611
Mar-1974,57,59240,14.45,13.675
Jun-1974,58,61316,15.42,13.723
Sep-1974,59,65560,16.49,13.773
Dec-1974,60,77608,17.39,13.829
Mar-1975,61,67992,17.46,13.865
Jun-1975,62,73784,17.7,13.89
Sep-1975,63,76168,18.89,13.93
Dec-1975,64,90160,20.2,13.965
Mar-1976,65,80060,19.93,13.997
Jun-1976,66,86872,20.4,14.03
Sep-1976,67,91560,21.79,14.069
Dec-1976,68,103116,21.93,14.11
Mar-1977,69,91580,22.3,14.15
Jun-1977,70,98448,22.34,14.194
