country_name,year,hlthgdp,hlthpc,infmort,lifeexp,gdppc,code,hlthpcsq,lnhlthpc,lngdppc,lnlifeexp,lninfmort
Australia,2009,9.1,3670,4.3,79.3,39039.96,AUS,1.34689e+07,8.207947,10.572341,4.373238,1.4586151
Austria,2009,11.2,4346,3.8,77.6,38827.707,AUT,1.8887716e+07,8.377011,10.56689,4.3515673,1.3350011
Belgium,2009,10.7,3911,3.4,77.3,36721.664,BEL,1.5295921e+07,8.271548,10.511122,4.347694,1.2237755
Canada,2009,11.4,4317,5.0,78.5,37842.293,CAN,1.8636488e+07,8.370316,10.5411825,4.3630986,1.609438
Chile,2009,8.4,1210,7.9,75.8,15177.291,CHL,1.4641e+06,7.098376,9.627556,4.3280983,2.0668628
Czech Republic,2009,8.0,2048,2.9,74.2,25627.48,CZR,4.194304e+06,7.624619,10.151421,4.306764,1.0647107
Denmark,2009,11.5,4385,3.1,76.9,38295.496,DEN,1.9228224e+07,8.385945,10.553087,4.342506,1.1314021
Estonia,2009,7.0,1385,3.6,69.8,19792.637,EST,1.918225e+06,7.233455,9.893065,4.245634,1.2809339
Finland,2009,9.2,3271,2.6,76.6,35696.87,FIN,1.0699441e+07,8.092851,10.482819,4.338597,0.9555114
France,2009,11.7,3930,3.9,77.7,33548.938,FRA,1.54449e+07,8.276395,10.42076,4.352855,1.3609766
Germany,2009,11.7,4225,3.5,77.8,36039.62,GER,1.7850624e+07,8.348775,10.492374,4.354141,1.2527629
Greece,2009,10.6,3106,3.1,77.8,29384.268,GRE,9.647236e+06,8.041091,10.288215,4.354141,1.1314021
Hungary,2009,7.7,1559,5.1,70.0,20156.549,HUN,2.430481e+06,7.3518,9.911284,4.248495,1.6292405
Iceland,2009,9.6,3539,1.8,79.7,36751.617,ICE,1.2524521e+07,8.171599,10.511937,4.3782697,0.5877866
Ireland,2009,9.9,3944,3.2,77.4,39835.76,IRE,1.5555136e+07,8.279951,10.592521,4.3489866,1.1631508
Israel,2009,7.9,2165,3.8,79.6,25472.174,ISR,4.687225e+06,7.680176,10.145342,4.377014,1.3350011
Italy,2009,9.3,3005,3.9,79.4,32250.027,ITA,9.030025e+06,8.008033,10.381274,4.3744984,1.3609766
Japan,2009,9.5,3035,2.4,79.6,32107.047,JAP,9.211225e+06,8.017966,10.376831,4.377014,0.8754688
Korea,2009,6.9,1864,3.2,77.0,26930.55,KOR,3.474496e+06,7.53048,10.201016,4.3438053,1.1631508
Luxembourg,2009,7.9,4786,2.5,78.1,82900.88,LUX,2.2905796e+07,8.473451,11.325401,4.3579903,0.91629076
Mexico,2009,6.4,923,14.7,72.9,13806.163,MEX,851929.0,6.827629,9.53287,4.2890887,2.6878474
Netherlands,2009,11.9,4886,3.8,78.5,41082.203,NET,2.3872996e+07,8.494129,10.62333,4.3630986,1.3350011
New Zealand,2009,10.0,2923,5.2,78.8,29496.465,NZ,8.543929e+06,7.9803658,10.292026,4.366913,1.6486586
Norway,2009,9.8,5348,3.1,78.7,54693.758,NOR,2.8601104e+07,8.584478,10.909505,4.365643,1.1314021
Poland,2009,7.2,1365,5.6,71.5,18927.117,PER,1.863225e+06,7.2189097,9.848351,4.2696977,1.7227666
Portugal,2009,10.8,2697,3.6,76.5,24937.986,POR,7.273809e+06,7.899895,10.124147,4.337291,1.2809339
Slovak Republic,2009,9.2,2066,5.7,71.3,22579.658,SLR,4.268356e+06,7.6333694,10.024805,4.2668962,1.7404661
Slovenia,2009,9.3,2524,2.4,75.8,27179.318,SLO,6.370576e+06,7.8336,10.210212,4.3280983,0.8754688
Spain,2009,9.6,3076,3.2,78.7,32164.395,SPA,9.461776e+06,8.031385,10.378615,4.365643,1.1631508
Sweden,2009,9.9,3711,2.5,79.4,37341.367,SWE,1.3771521e+07,8.219057,10.527857,4.3744984,0.91629076
Switzerland,2009,11.4,5135,4.3,79.9,45108.31,SWI,2.6368224e+07,8.543835,10.716822,4.380776,1.4586151
Turkey,2009,6.7,968,13.1,71.5,14453.632,TUR,937024.0,6.875232,9.578701,4.2696977,2.5726123
United Kingdom,2009,9.8,3379,4.6,78.3,34476.23,UK,1.1417641e+07,8.125335,10.448026,4.3605475,1.5260563
United States,2009,17.7,7990,6.4,76.0,45191.938,USA,6.38401e+07,8.985946,10.718674,4.3307333,1.856298
