country,year,hlthgdp,hlthpc,oop,gdppc,infmort,lifeexp,doctors,nurses,hospbeds,ctscanners
Australia,2018.0,9.3,4965,17.9,53468,3.1,82.8,3.8,11.9,3.8,67.3
Austria,2018.0,10.3,5538,18.4,53687,2.7,81.8,5.2,6.9,7.3,28.8
Belgium,2018.0,10.3,5103,19.1,49454,3.8,81.7,3.1,11.3,5.6,23.9
Canada,2018.0,10.8,5287,14.7,49003,4.7,82.0,2.7,10.0,2.6,15.4
Chile,2018.0,9.1,2126,33.2,23257,6.6,80.4,2.6,3.0,2.1,24.2
Colombia,2018.0,7.4,1160,16.3,15720,16.5,77.1,2.2,1.3,1.7,1.3
Czech Republic,2018.0,7.6,3171,14.2,41463,2.6,79.1,4.0,8.1,6.6,16.1
Denmark,2018.0,10.1,5295,13.8,52395,3.7,81.0,4.2,10.1,2.4,39.7
Estonia,2018.0,6.7,2368,24.6,35541,1.6,78.4,3.5,6.3,4.6,18.9
Finland,2018.0,9.0,4331,18.4,47920,2.1,81.8,3.2,14.5,3.6,16.5
France,2018.0,11.3,5154,9.2,45636,3.8,82.8,3.2,10.8,5.9,17.7
Germany,2018.0,11.5,6224,12.5,54257,3.2,81.0,4.3,13.2,8.0,35.1
Greece,2018.0,7.7,2266,36.4,29370,3.5,81.9,6.1,3.4,4.2,40.6
Hungary,2018.0,6.7,2150,26.9,32085,3.3,76.2,3.4,6.6,7.0,9.4
Iceland,2018.0,8.5,4420,15.9,51731,1.7,82.9,3.9,14.7,2.9,48.2
Ireland,2018.0,6.9,4912,12.1,70888,2.9,82.3,3.3,12.9,3.0,20.3
Israel,2018.0,7.5,2826,21.1,37592,3.0,82.9,3.2,5.0,3.0,9.6
Italy,2018.0,8.7,3485,23.5,40205,2.8,83.4,4.0,5.7,3.1,35.1
Japan,2018.0,11.0,4504,12.7,41125,1.9,84.2,2.5,11.8,13.0,111.5
Korea,2018.0,7.6,3085,32.5,40793,2.8,82.7,2.4,7.2,12.4,38.6
Latvia,2018.0,6.2,1856,39.2,29900,3.2,74.9,3.3,4.4,5.5,38.4
Lithuania,2018.0,6.6,2385,31.6,36314,3.4,75.8,4.6,7.8,6.4,24.3
Luxembourg,2018.0,5.3,5216,10.4,98681,4.3,82.4,3.0,11.7,4.5,16.5
Mexico,2018.0,5.5,1145,41.4,20988,12.9,75.0,2.4,2.9,1.0,5.9
Netherlands,2018.0,10.0,5436,10.8,54505,3.5,81.9,3.7,11.1,3.2,14.2
New Zealand,2018.0,9.2,4025,12.9,43693,3.8,81.8,3.4,10.3,2.6,15.7
Norway,2018.0,10.0,6283,14.3,62525,2.3,82.8,4.8,17.7,3.5,15.0
Poland,2018.0,6.3,2114,20.4,33387,3.8,77.7,2.4,5.1,6.5,18.1
Portugal,2018.0,9.4,3097,29.5,32783,3.3,81.4,5.2,6.9,3.5,26.5
Slovak Republic,2018.0,6.7,2142,18.9,32038,5.0,77.4,3.5,5.7,5.7,18.4
Slovenia,2018.0,8.3,3055,11.9,36656,1.7,81.5,3.2,10.1,4.4,15.9
Spain,2018.0,9.0,3430,22.2,38139,2.7,83.5,4.0,5.9,3.0,19.1
Sweden,2018.0,10.9,5434,13.8,49915,2.0,82.6,4.3,10.9,2.1,18.7
Switzerland,2018.0,11.9,7280,28.0,61298,3.3,83.8,4.3,17.6,4.6,39.7
Turkey,2018.0,4.2,1224,17.5,29399,9.2,78.3,1.9,2.3,2.9,14.9
United Kingdom,2018.0,10.0,4290,16.7,42911,3.9,81.3,2.8,7.8,2.5,9.5
United States,2018.0,16.9,10637,10.8,62998,5.8,78.7,2.6,11.9,2.9,44.6
