state,year,vote,margin,class,termshouse,termssenate,population,win
1.0,1914.0,36.097572,-7.688561,3.0,3.0,6.0,1233000,0.0
1.0,1916.0,45.468746,-3.9237082,1.0,0.0,4.0,1294000,0.0
1.0,1922.0,45.598213,-6.8686604,1.0,0.0,7.0,1431000,0.0
1.0,1926.0,48.476063,-27.668056,3.0,0.0,3.0,1531000,0.0
1.0,1928.0,51.74687,-8.2569685,1.0,0.0,1.0,1577000,0.0
1.0,1932.0,39.802643,0.7324815,3.0,4.0,1.0,1637000,1.0
1.0,1934.0,53.15107,3.4937382,1.0,1.0,1.0,1650000,1.0
1.0,1938.0,51.987637,-3.0905752,3.0,0.0,1.0,1684000,0.0
1.0,1944.0,51.678295,4.703456,3.0,0.0,1.0,1778000,1.0
1.0,1952.0,57.468903,-8.1198635,1.0,0.0,2.0,2081000,0.0
1.0,1956.0,51.25474,-11.794811,3.0,0.0,4.0,2316000,0.0
1.0,1958.0,64.64426,14.937806,1.0,2.0,1.0,2446000,1.0
1.0,1962.0,54.291164,2.5094838,3.0,2.0,1.0,2647000,1.0
1.0,1964.0,33.792454,29.306395,1.0,2.0,4.0,2798000,1.0
1.0,1968.0,63.674862,8.585564,3.0,2.0,4.0,2964000,1.0
1.0,1970.0,41.217743,-7.9507647,1.0,1.0,1.0,3032217,0.0
1.0,1974.0,56.34152,29.381487,3.0,2.0,7.0,3074047,1.0
1.0,1976.0,46.067585,-16.506035,1.0,1.0,4.0,3083335,0.0
1.0,1980.0,64.7634,13.428482,3.0,3.0,1.0,3107576,1.0
1.0,1982.0,49.76444,-4.3230863,1.0,1.0,7.0,3139013,0.0
1.0,1986.0,58.812016,29.915768,3.0,3.0,4.0,3223740,1.0
1.0,1988.0,67.04327,0.72604716,1.0,0.0,1.0,3271953,1.0
1.0,1992.0,65.14609,20.69308,3.0,3.0,7.0,3274997,1.0
1.0,1994.0,63.21411,36.03056,1.0,,,3268346,1.0
1.0,1998.0,65.3606,32.777927,3.0,,,3272563,1.0
1.0,2000.0,39.72964,29.042652,1.0,,,3405650,1.0
1.0,2004.0,55.158417,33.712173,3.0,,,3496094,1.0
1.0,2006.0,,-10.917887,1.0,,,3517460,0.0
1.0,2010.0,,11.941481,3.0,,,3574097,1.0
2.0,1916.0,42.495945,-6.8523526,1.0,0.0,1.0,775000,0.0
2.0,1918.0,39.57094,-11.135491,2.0,0.0,3.0,760000,0.0
2.0,1922.0,30.358973,-15.008113,1.0,0.0,4.0,778000,0.0
2.0,1928.0,49.709076,-39.282055,1.0,0.0,7.0,797000,0.0
2.0,1930.0,49.253906,-21.88948,2.0,7.0,1.0,800000,0.0
2.0,1934.0,41.27341,-0.43046474,1.0,0.0,10.0,829000,0.0
2.0,1936.0,33.33094,-1.4921904,2.0,7.0,4.0,840000,0.0
2.0,1940.0,36.453655,-17.334133,1.0,3.0,1.0,849000,0.0
2.0,1942.0,28.69979,-33.33812,2.0,7.0,7.0,839000,0.0
2.0,1946.0,37.258305,-27.092691,1.0,3.0,4.0,832000,0.0
2.0,1948.0,41.392105,-42.60042,2.0,5.0,1.0,878000,0.0
2.0,1952.0,60.781956,-25.483395,1.0,0.0,1.0,915000,0.0
2.0,1954.0,38.351185,-17.215788,2.0,5.0,4.0,927000,0.0
2.0,1958.0,66.61683,21.563911,1.0,0.0,1.0,944000,1.0
2.0,1960.0,41.053513,-23.297632,2.0,5.0,7.0,969000,0.0
2.0,1964.0,61.740875,33.233654,1.0,0.0,4.0,993000,1.0
2.0,1966.0,53.231586,-17.892977,2.0,5.0,10.0,999000,0.0
2.0,1970.0,60.203255,23.48175,1.0,0.0,7.0,993722,1.0
2.0,1972.0,33.9383,6.463173,2.0,4.0,1.0,1034292,1.0
2.0,1978.0,25.865877,-22.647476,2.0,3.0,1.0,1113566,0.0
2.0,1984.0,38.64026,-47.47645,2.0,3.0,4.0,1155635,0.0
2.0,1988.0,36.355286,62.595875,1.0,0.0,6.0,1203840,1.0
2.0,1990.0,43.875427,-22.700262,2.0,3.0,7.0,1231296,0.0
2.0,1994.0,31.058702,-23.880028,1.0,,,1237687,0.0
2.0,1996.0,41.56435,-5.306068,2.0,,,1241436,0.0
2.0,2000.0,20.586014,-37.8826,1.0,,,1274779,0.0
2.0,2002.0,38.583435,-16.871298,2.0,,,1295960,0.0
2.0,2006.0,,-53.423553,1.0,,,1323619,0.0
2.0,2008.0,,-22.747543,2.0,,,1330509,0.0
3.0,1916.0,46.747425,-6.371194,1.0,3.0,13.0,3726000,0.0
3.0,1918.0,48.60962,4.5928836,2.0,0.0,1.0,3695000,1.0
3.0,1924.0,54.01156,-1.6500294,2.0,16.0,1.0,4102000,0.0
3.0,1928.0,59.38833,8.163661,1.0,0.0,6.0,4217000,1.0
3.0,1930.0,41.020775,9.337995,2.0,0.0,1.0,4250000,1.0
3.0,1934.0,55.63559,22.012463,1.0,0.0,9.0,4305000,1.0
3.0,1936.0,46.606186,-7.508719,2.0,0.0,1.0,4355000,0.0
3.0,1940.0,39.721718,12.810659,1.0,0.0,12.0,4318000,1.0
3.0,1946.0,51.34601,-19.826927,1.0,0.0,5.0,4494000,0.0
3.0,1948.0,49.024887,-6.5218925,2.0,0.0,3.0,4674000,0.0
3.0,1952.0,73.195274,2.9967933,1.0,3.0,1.0,4650000,1.0
3.0,1954.0,43.457664,-1.516661,2.0,0.0,6.0,4910000,0.0
3.0,1960.0,38.739037,-12.731796,2.0,0.0,9.0,5149000,0.0
3.0,1964.0,62.143604,48.84214,1.0,0.0,3.0,5448000,1.0
3.0,1966.0,34.727562,-21.936161,2.0,0.0,1.0,5535000,0.0
3.0,1970.0,69.30872,25.153763,1.0,0.0,6.0,5689170,1.0
3.0,1972.0,55.05781,-28.795755,2.0,0.0,4.0,5760302,0.0
3.0,1976.0,60.81109,40.301617,1.0,0.0,9.0,5743672,1.0
3.0,1978.0,55.054295,10.207936,2.0,2.0,1.0,5736469,1.0
3.0,1982.0,64.97305,22.551838,1.0,0.0,12.0,5771222,1.0
3.0,1984.0,57.063515,10.124713,2.0,0.0,1.0,5840773,1.0
3.0,1988.0,58.074856,31.044022,1.0,0.0,15.0,5979982,1.0
3.0,1990.0,52.20675,14.195374,2.0,0.0,4.0,6018664,1.0
3.0,1994.0,72.689064,17.064774,1.0,,,6031352,1.0
3.0,1996.0,80.02838,7.4928226,2.0,,,6085393,1.0
3.0,2000.0,69.30247,58.240257,1.0,,,6349364,1.0
3.0,2002.0,65.858765,60.05677,2.0,,,6417206,1.0
3.0,2008.0,,34.931324,2.0,,,6468967,1.0
4.0,1918.0,40.2435,-7.1211934,2.0,0.0,1.0,440000,0.0
4.0,1920.0,37.680603,-16.092232,3.0,0.0,3.0,444000,0.0
4.0,1924.0,41.89725,-19.512999,2.0,0.0,4.0,457000,0.0
4.0,1926.0,50.345604,-24.638796,3.0,0.0,6.0,463000,0.0
4.0,1930.0,47.665386,-15.97952,2.0,0.0,7.0,466000,0.0
4.0,1932.0,45.7659,1.0791302,3.0,0.0,1.0,474000,1.0
4.0,1936.0,45.394653,-4.1939945,2.0,0.0,1.0,481000,0.0
4.0,1938.0,49.069138,-8.468199,3.0,3.0,1.0,485000,0.0
4.0,1942.0,41.166813,-9.210693,2.0,0.0,4.0,481000,0.0
4.0,1944.0,38.028996,-1.8617243,3.0,3.0,4.0,456000,0.0
4.0,1948.0,39.77978,-16.976374,2.0,0.0,7.0,520000,0.0
4.0,1954.0,39.654316,-20.440435,2.0,0.0,10.0,554000,0.0
4.0,1956.0,40.29063,-28.143272,3.0,4.0,3.0,566000,0.0
4.0,1962.0,40.704,-19.41874,3.0,4.0,6.0,632000,0.0
4.0,1966.0,56.880753,8.131963,2.0,0.0,4.0,681000,1.0
4.0,1972.0,48.50462,13.763666,2.0,0.0,7.0,781107,1.0
4.0,1978.0,40.95852,-2.1988094,2.0,0.0,1.0,891520,0.0
4.0,1980.0,32.37135,-4.293713,3.0,0.0,1.0,920610,0.0
4.0,1984.0,31.394941,-17.788744,2.0,0.0,4.0,976864,0.0
4.0,1986.0,45.32692,-30.589857,3.0,0.0,4.0,1025053,0.0
4.0,1990.0,46.222095,-33.868736,2.0,3.0,1.0,1111831,0.0
4.0,1992.0,28.220766,-2.8180063,3.0,4.0,1.0,1112766,0.0
4.0,1996.0,46.401646,-3.0300884,2.0,,,1160768,0.0
4.0,1998.0,33.716896,-39.55918,3.0,,,1185823,0.0
4.0,2002.0,51.589626,-4.4172316,2.0,,,1269089,0.0
4.0,2004.0,36.81102,-32.4612,3.0,,,1290121,0.0
4.0,2008.0,,6.337917,2.0,,,1315906,1.0
4.0,2010.0,,-23.217234,3.0,,,1316470,0.0
5.0,1916.0,52.167862,8.817807,1.0,1.0,1.0,598000,1.0
5.0,1922.0,49.298695,8.785376,1.0,1.0,4.0,644000,1.0
5.0,1924.0,49.168472,-15.835348,2.0,0.0,2.0,669000,0.0
5.0,1928.0,57.12244,-1.2698561,1.0,0.0,1.0,678000,0.0
5.0,1930.0,48.611946,-1.1273801,2.0,0.0,5.0,686000,0.0
5.0,1934.0,55.16168,14.272488,1.0,1.0,7.0,675000,1.0
5.0,1936.0,57.96792,4.231307,2.0,0.0,1.0,686000,1.0
5.0,1940.0,55.112457,10.32336,1.0,1.0,10.0,719000,1.0
5.0,1942.0,59.28737,15.935842,2.0,0.0,4.0,748000,1.0
5.0,1948.0,59.28958,18.574738,2.0,0.0,7.0,787000,1.0
5.0,1952.0,64.48585,9.557202,1.0,0.0,3.0,802000,1.0
5.0,1954.0,68.89668,18.57916,2.0,0.0,10.0,816000,1.0
5.0,1958.0,82.73073,28.971695,1.0,0.0,6.0,858000,1.0
5.0,1960.0,67.65946,37.793358,2.0,0.0,1.0,859000,1.0
5.0,1964.0,67.542244,65.46146,1.0,0.0,9.0,885000,1.0
5.0,1966.0,53.68296,35.318924,2.0,0.0,4.0,899000,1.0
5.0,1970.0,42.031204,36.081493,1.0,0.0,12.0,949723,1.0
5.0,1972.0,75.1124,7.970375,2.0,0.0,7.0,974790,1.0
5.0,1976.0,48.80214,-15.708965,1.0,0.0,1.0,946089,0.0
5.0,1978.0,72.552574,50.224792,2.0,0.0,10.0,951816,1.0
5.0,1982.0,45.407425,-2.3957224,1.0,0.0,4.0,954170,0.0
5.0,1984.0,61.8332,45.105145,2.0,0.0,13.0,961894,1.0
5.0,1988.0,35.476624,-9.185156,1.0,0.0,7.0,996408,0.0
5.0,1990.0,63.482224,23.666397,2.0,0.0,16.0,1004649,1.0
5.0,1996.0,78.39228,28.430447,2.0,,,987858,1.0
5.0,2000.0,53.472424,-15.731323,1.0,,,1048259,0.0
5.0,2002.0,73.40449,56.81821,2.0,,,1065995,1.0
5.0,2006.0,,7.033059,1.0,,,1063096,1.0
5.0,2008.0,,46.80897,2.0,,,1055003,1.0
6.0,1914.0,21.933214,-56.035404,3.0,0.0,9.0,362000,0.0
6.0,1916.0,32.06619,-50.794697,1.0,0.0,6.0,360000,0.0
6.0,1922.0,28.445885,-35.867622,1.0,6.0,1.0,354000,0.0
6.0,1926.0,44.849586,-46.886055,3.0,5.0,3.0,356000,0.0
6.0,1934.0,33.550587,-2.671185,1.0,0.0,3.0,357000,0.0
6.0,1944.0,21.989212,-31.60944,3.0,0.0,3.0,314000,0.0
6.0,1946.0,27.672476,-49.27052,1.0,0.0,2.0,342000,0.0
6.0,1950.0,33.60444,-55.99915,3.0,0.0,6.0,378000,0.0
6.0,1952.0,47.84237,-44.644665,1.0,0.0,5.0,375000,0.0
6.0,1956.0,33.066116,-32.788544,3.0,0.0,9.0,377000,0.0
6.0,1958.0,46.52084,-4.310444,1.0,4.0,1.0,380000,0.0
6.0,1962.0,0.0,-33.867764,3.0,0.0,12.0,393000,0.0
6.0,1964.0,40.201035,-6.9498005,1.0,4.0,4.0,399000,0.0
6.0,1968.0,49.469784,-99.85957,3.0,0.0,15.0,430000,0.0
6.0,1974.0,49.75905,3.0860395,3.0,0.0,1.0,473002,1.0
6.0,1976.0,47.225346,-4.65644,1.0,6.0,4.0,484928,0.0
6.0,1980.0,63.156635,1.1684269,3.0,0.0,4.0,511456,1.0
6.0,1982.0,29.764982,-3.0416102,1.0,6.0,7.0,519109,0.0
6.0,1986.0,54.162014,28.659454,3.0,0.0,7.0,534066,1.0
6.0,1988.0,40.566536,-38.204834,1.0,7.0,1.0,549763,0.0
6.0,1992.0,72.21542,10.816863,3.0,0.0,10.0,570115,1.0
6.0,1994.0,25.425303,-9.7495165,1.0,,,578900,0.0
6.0,1998.0,70.62707,49.765457,3.0,,,590579,1.0
6.0,2004.0,64.326164,46.084087,3.0,,,619920,1.0
6.0,2006.0,,-67.638016,1.0,,,622892,0.0
6.0,2010.0,,33.413837,3.0,,,625741,1.0
11.0,1918.0,40.62894,-3.3434777,2.0,1.0,3.0,220000,0.0
11.0,1922.0,39.050053,0.43396354,1.0,0.0,2.0,214000,1.0
11.0,1928.0,46.15594,-21.8999,1.0,0.0,1.0,233000,0.0
11.0,1930.0,52.976036,-9.13051,2.0,0.0,3.0,239000,0.0
11.0,1934.0,50.633533,-7.117355,1.0,0.0,4.0,250000,0.0
11.0,1936.0,44.92193,11.580616,2.0,0.0,1.0,253000,1.0
11.0,1940.0,44.849487,3.3326178,1.0,0.0,1.0,269000,1.0
11.0,1942.0,50.853836,-9.246498,2.0,0.0,1.0,279000,0.0
11.0,1946.0,45.508335,-10.301021,1.0,0.0,1.0,299000,0.0
11.0,1948.0,56.94341,2.576363,2.0,0.0,1.0,312000,1.0
11.0,1952.0,46.720886,-8.983335,1.0,0.0,4.0,341000,0.0
11.0,1954.0,49.286022,13.886822,2.0,0.0,4.0,368000,1.0
11.0,1958.0,48.255383,-6.5582275,1.0,0.0,7.0,433000,0.0
11.0,1960.0,40.881657,-1.4279574,2.0,3.0,1.0,446000,0.0
11.0,1966.0,50.47514,-18.236685,2.0,3.0,4.0,516000,0.0
11.0,1970.0,43.607327,-18.730911,1.0,2.0,2.0,548104,0.0
11.0,1972.0,57.955723,1.3758123,2.0,0.0,1.0,572913,1.0
11.0,1976.0,44.204544,-12.206313,1.0,2.0,5.0,590166,0.0
11.0,1978.0,60.11052,16.937536,2.0,0.0,4.0,594776,1.0
11.0,1982.0,37.938667,-10.967743,1.0,2.0,8.0,599148,0.0
11.0,1984.0,62.67929,20.221039,2.0,0.0,7.0,611565,1.0
11.0,1988.0,42.483253,-24.122667,1.0,2.0,11.0,647622,0.0
11.0,1990.0,60.04006,26.846214,2.0,0.0,10.0,669063,1.0
11.0,1994.0,55.52188,-13.331726,1.0,,,708416,0.0
11.0,1996.0,58.21991,21.908188,2.0,,,727090,1.0
11.0,2000.0,67.1262,11.826599,1.0,,,783559,1.0
11.0,2002.0,64.686516,17.416084,2.0,,,806169,1.0
11.0,2006.0,,39.68256,1.0,,,859268,1.0
12.0,1916.0,54.871403,-17.089155,1.0,0.0,1.0,2918000,0.0
12.0,1918.0,33.669895,-7.10867,2.0,0.0,1.0,3043000,0.0
12.0,1922.0,41.840485,10.824492,1.0,0.0,1.0,3380000,1.0
12.0,1928.0,57.9023,-16.02672,1.0,0.0,1.0,3968000,0.0
12.0,1936.0,45.809372,10.562929,2.0,0.0,1.0,4084000,1.0
12.0,1942.0,47.29785,-7.2826834,2.0,0.0,1.0,4297000,0.0
12.0,1946.0,43.61889,-18.384892,1.0,0.0,3.0,4492000,0.0
12.0,1948.0,48.46825,-2.69033,2.0,0.0,1.0,4774000,0.0
12.0,1952.0,51.390903,-11.888152,1.0,0.0,6.0,5125000,0.0
12.0,1954.0,43.21114,-0.19033551,2.0,5.0,1.0,5360000,0.0
12.0,1958.0,61.91063,4.4938984,1.0,2.0,1.0,5890000,1.0
12.0,1960.0,36.984344,-12.476641,2.0,5.0,4.0,6067000,0.0
12.0,1964.0,54.015743,24.588171,1.0,2.0,4.0,6660000,1.0
12.0,1966.0,34.513077,-23.035845,2.0,5.0,7.0,6851000,0.0
12.0,1970.0,60.660534,11.859733,1.0,2.0,7.0,7171112,1.0
12.0,1972.0,55.3232,-27.94796,2.0,5.0,10.0,7335042,0.0
12.0,1976.0,50.937878,22.610748,1.0,2.0,10.0,7339745,1.0
12.0,1978.0,64.15864,12.197095,2.0,0.0,1.0,7350804,1.0
12.0,1984.0,50.442772,29.276825,2.0,0.0,4.0,7515473,1.0
12.0,1988.0,50.2941,8.366755,1.0,4.0,3.0,7712333,1.0
12.0,1990.0,52.67934,3.0403585,2.0,0.0,7.0,7757158,1.0
12.0,1994.0,50.112946,3.2723427,1.0,,,7918796,1.0
12.0,1996.0,53.876305,10.107502,2.0,,,8009624,1.0
12.0,2002.0,56.030117,9.928695,2.0,,,8552643,1.0
12.0,2006.0,,9.024965,1.0,,,8661679,1.0
12.0,2008.0,,14.076117,2.0,,,8711090,1.0
13.0,1914.0,32.902725,-4.982242,3.0,0.0,1.0,9585000,0.0
13.0,1916.0,52.59804,-15.103719,1.0,5.0,1.0,9848000,0.0
13.0,1920.0,46.48407,-19.460436,3.0,0.0,4.0,282000,0.0
13.0,1922.0,49.076385,11.587196,1.0,0.0,1.0,589000,1.0
13.0,1926.0,55.773907,4.0880737,3.0,0.0,1.0,1257000,1.0
13.0,1928.0,55.340122,1.1834025,1.0,0.0,4.0,1599000,1.0
