shortnam,logpgp95,avexpr,lat_abst,logem4,edes1975,avelf,temp1,temp2,temp3,temp4,temp5,humid1,humid2,humid3,humid4,steplow,deslow,stepmid,desmid,drystep,drywint,landlock,goldm,iron,silv,zinc,oilres,baseco,indtime,euro1900,democ1,cons1,democ00a,cons00a
AGO,7.770645,5.3636365,0.13666667,5.6347895,0.0,0.77275497,26.0,28.0,37.0,14.0,21.0,77.0,84.0,74.0,78.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146000.0,1.0,20.0,8.0,0.0,3.0,0.0,1.0
ARG,9.133459,6.3863635,0.37777779,4.232656,90.0,0.17693181,17.0,25.0,40.0,-6.0,6.0,81.0,92.0,60.0,79.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46900.0,1.0,170.0,60.000004,1.0,1.0,3.0,3.0
AUS,9.897972,9.318182,0.3,2.1459312,99.0,0.11279711,17.0,18.0,43.0,-10.0,3.0,56.0,85.0,35.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,9.0,12.0,99100.0,1.0,94.0,98.0,10.0,7.0,10.0,7.0
BFA,6.84588,4.4545455,0.14444445,5.6347895,0.0,0.5467181,29.0,38.0,48.0,9.0,19.0,38.0,81.0,19.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,3.0,0.0,1.0
BGD,6.877296,5.1363635,0.26666668,4.268438,0.0,0.0,25.0,29.0,42.0,7.0,24.0,37.0,74.0,37.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,8.0,7.0,0.0,1.0
BHS,9.285448,7.5,0.26833332,4.4426513,10.0,0.0,25.0,29.0,34.0,5.0,19.0,79.0,84.0,62.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,10.0,,,,
BOL,7.9266024,5.6363635,0.18888889,4.26268,30.000002,0.5994118,12.0,21.0,27.0,-3.0,2.0,77.0,93.0,49.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14300.0,1.0,170.0,30.000002,1.0,3.0,4.0,3.0
BRA,8.727454,7.909091,0.11111111,4.26268,55.0,0.055780932,25.0,32.0,39.0,10.0,18.0,82.0,87.0,68.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.0,1.0,19400.0,1.0,171.0,40.0,1.0,1.0,1.0,3.0
CAN,9.986449,9.727273,0.6666667,2.7788193,98.0,0.3761876,4.0,12.0,39.0,-37.0,3.0,76.0,90.0,40.0,76.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,13.0,15.0,185000.0,1.0,128.0,99.0,7.0,7.0,9.0,7.0
CHL,9.336092,7.818182,0.33333334,4.232656,50.0,0.050625,17.0,27.0,37.0,-4.0,6.0,70.0,93.0,38.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21700.0,1.0,177.0,50.0,1.0,1.0,5.0,7.0
CIV,7.4442487,7.0,0.08888889,6.504288,0.0,0.8565299,26.0,31.0,36.0,15.0,20.0,93.0,96.0,71.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7460.0,1.0,35.0,0.0,0.0,1.0,0.0,1.0
