date,daten,gs3m,gs1,gs2,gs3,gs5,gs10,gs20,gs30,fii10,fedfunds,med1,aaa,baa,year,time,dgs1,dgs10
1982-01-01,1982-01-01,12.92,14.32,14.57,14.64,14.65,14.59,14.57,14.22,,13.22,13.68,15.18,17.1,1982.0,1.0,,
1982-02-01,1982-02-01,14.28,14.73,14.82,14.73,14.54,14.43,14.48,14.22,,14.78,15.52,15.27,17.18,1982.0,2.0,0.41,-0.16
1982-03-01,1982-03-01,13.31,13.95,14.19,14.13,13.98,13.86,13.75,13.53,,14.68,14.8,14.58,16.82,1982.0,3.0,-0.78,-0.57
1982-04-01,1982-04-01,13.34,13.98,14.2,14.18,14.0,13.87,13.57,13.37,,14.94,15.15,14.46,16.78,1982.0,4.0,0.03,0.01
1982-05-01,1982-05-01,12.71,13.34,13.78,13.77,13.75,13.62,13.46,13.24,,14.45,14.73,14.26,16.64,1982.0,5.0,-0.64,-0.25
1982-06-01,1982-06-01,13.08,14.07,14.47,14.48,14.43,14.3,14.18,13.92,,14.15,14.97,14.81,16.92,1982.0,6.0,0.73,0.68
1982-07-01,1982-07-01,11.86,13.24,13.8,14.0,14.07,13.95,13.76,13.55,,12.59,13.67,14.61,16.8,1982.0,7.0,-0.83,-0.35
1982-08-01,1982-08-01,9.0,11.43,12.32,12.62,13.0,13.06,12.91,12.77,,10.12,10.77,13.71,16.32,1982.0,8.0,-1.81,-0.89
1982-09-01,1982-09-01,8.19,10.85,11.78,12.03,12.25,12.34,12.16,12.07,,10.31,11.18,12.94,15.63,1982.0,9.0,-0.58,-0.72
1982-10-01,1982-10-01,7.97,9.32,10.19,10.62,10.8,10.91,10.97,11.17,,9.71,10.11,12.12,14.73,1982.0,10.0,-1.53,-1.43
1982-11-01,1982-11-01,8.35,9.16,9.8,9.98,10.38,10.55,10.57,10.54,,9.2,9.47,11.68,14.3,1982.0,11.0,-0.16,-0.36
1982-12-01,1982-12-01,8.2,8.91,9.66,9.88,10.22,10.54,10.62,10.54,,8.95,9.29,11.83,14.14,1982.0,12.0,-0.25,-0.01
1983-01-01,1983-01-01,8.12,8.62,9.33,9.64,10.03,10.46,10.78,10.63,,8.68,8.89,11.79,13.94,1983.0,13.0,-0.29,-0.08
1983-02-01,1983-02-01,8.39,8.92,9.64,9.91,10.26,10.72,11.03,10.88,,8.51,8.89,12.01,13.95,1983.0,14.0,0.3,0.26
1983-03-01,1983-03-01,8.66,9.04,9.66,9.84,10.08,10.51,10.8,10.63,,8.77,9.17,11.73,13.61,1983.0,15.0,0.12,-0.21
1983-04-01,1983-04-01,8.51,8.98,9.57,9.76,10.02,10.4,10.63,10.48,,8.8,9.1,11.51,13.29,1983.0,16.0,-0.06,-0.11
1983-05-01,1983-05-01,8.5,8.9,9.49,9.66,10.03,10.38,10.67,10.53,,8.63,8.86,11.46,13.09,1983.0,17.0,-0.08,-0.02
1983-06-01,1983-06-01,9.14,9.66,10.18,10.32,10.63,10.85,11.12,10.93,,8.98,9.47,11.74,13.37,1983.0,18.0,0.76,0.47
1983-07-01,1983-07-01,9.45,10.2,10.69,10.9,11.21,11.38,11.59,11.4,,9.37,9.66,12.15,13.39,1983.0,19.0,0.54,0.53
1983-08-01,1983-08-01,9.74,10.53,11.07,11.3,11.63,11.85,11.96,11.82,,9.56,9.83,12.51,13.64,1983.0,20.0,0.33,0.47
1983-09-01,1983-09-01,9.36,10.16,10.79,11.07,11.43,11.65,11.82,11.63,,9.45,9.65,12.37,13.55,1983.0,21.0,-0.37,-0.2
1983-10-01,1983-10-01,8.99,9.81,10.57,10.87,11.28,11.54,11.77,11.58,,9.48,9.42,12.25,13.46,1983.0,22.0,-0.35,-0.11
1983-11-01,1983-11-01,9.11,9.94,10.66,10.96,11.41,11.69,11.92,11.75,,9.34,9.49,12.41,13.61,1983.0,23.0,0.13,0.15
1983-12-01,1983-12-01,9.36,10.11,10.84,11.13,11.54,11.83,12.02,11.88,,9.47,10.02,12.57,13.75,1983.0,24.0,0.17,0.14
1984-01-01,1984-01-01,9.26,9.9,10.64,10.93,11.37,11.67,11.82,11.75,,9.56,9.57,12.2,13.65,1984.0,25.0,-0.21,-0.16
1984-02-01,1984-02-01,9.46,10.04,10.79,11.05,11.54,11.84,12.0,11.95,,9.59,9.71,12.08,13.59,1984.0,26.0,0.14,0.17
1984-03-01,1984-03-01,9.89,10.59,11.31,11.59,12.02,12.32,12.45,12.38,,9.91,10.15,12.57,13.99,1984.0,27.0,0.55,0.48
1984-04-01,1984-04-01,10.07,10.9,11.69,11.98,12.37,12.63,12.65,12.65,,10.29,10.57,12.81,14.31,1984.0,28.0,0.31,0.31
1984-05-01,1984-05-01,10.22,11.66,12.47,12.75,13.17,13.41,13.43,13.43,,10.32,10.87,13.28,14.74,1984.0,29.0,0.76,0.78
1984-06-01,1984-06-01,10.26,12.08,12.91,13.18,13.48,13.56,13.54,13.44,,11.06,11.34,13.55,15.05,1984.0,30.0,0.42,0.15
1984-07-01,1984-07-01,10.53,12.03,12.88,13.08,13.27,13.36,13.36,13.21,,11.23,11.57,13.44,15.15,1984.0,31.0,-0.05,-0.2
1984-08-01,1984-08-01,10.9,11.82,12.43,12.5,12.68,12.72,12.71,12.54,,11.64,11.61,12.87,14.63,1984.0,32.0,-0.21,-0.64
1984-09-01,1984-09-01,10.8,11.58,12.2,12.34,12.53,12.52,12.42,12.29,,11.3,11.5,12.66,14.35,1984.0,33.0,-0.24,-0.2
1984-10-01,1984-10-01,10.12,10.9,11.6,11.85,12.06,12.16,12.04,11.98,,9.99,10.41,12.63,13.94,1984.0,34.0,-0.68,-0.36
1984-11-01,1984-11-01,8.92,9.82,10.65,10.9,11.33,11.57,11.66,11.56,,9.43,9.23,12.29,13.48,1984.0,35.0,-1.08,-0.59
1984-12-01,1984-12-01,8.34,9.33,10.18,10.56,11.07,11.5,11.64,11.52,,8.38,8.67,12.13,13.4,1984.0,36.0,-0.49,-0.07
1985-01-01,1985-01-01,8.02,9.02,9.93,10.43,10.93,11.38,11.58,11.45,,8.35,8.17,12.08,13.26,1985.0,37.0,-0.31,-0.12
1985-02-01,1985-02-01,8.56,9.29,10.17,10.55,11.13,11.51,11.7,11.47,,8.5,8.63,12.13,13.23,1985.0,38.0,0.27,0.13
1985-03-01,1985-03-01,8.83,9.86,10.71,11.05,11.52,11.86,12.06,11.81,,8.58,8.85,12.56,13.69,1985.0,39.0,0.57,0.35
1985-04-01,1985-04-01,8.22,9.14,10.09,10.49,11.01,11.43,11.69,11.47,,8.27,8.5,12.23,13.51,1985.0,40.0,-0.72,-0.43
1985-05-01,1985-05-01,7.73,8.46,9.39,9.75,10.34,10.85,11.19,11.05,,7.97,7.96,11.72,13.15,1985.0,41.0,-0.68,-0.58
1985-06-01,1985-06-01,7.18,7.8,8.69,9.05,9.6,10.16,10.57,10.45,,7.53,7.53,10.94,12.4,1985.0,42.0,-0.66,-0.69
1985-07-01,1985-07-01,7.32,7.86,8.77,9.18,9.7,10.31,10.68,10.5,,7.88,7.78,10.97,12.43,1985.0,43.0,0.06,0.15
1985-08-01,1985-08-01,7.37,8.05,8.94,9.31,9.81,10.33,10.73,10.56,,7.9,7.89,11.05,12.5,1985.0,44.0,0.19,0.02
1985-09-01,1985-09-01,7.33,8.07,8.98,9.37,9.81,10.37,10.8,10.61,,7.92,8.02,11.07,12.48,1985.0,45.0,0.02,0.04
1985-10-01,1985-10-01,7.4,8.01,8.86,9.25,9.69,10.24,10.67,10.5,,7.99,7.98,11.02,12.36,1985.0,46.0,-0.06,-0.13
1985-11-01,1985-11-01,7.48,7.88,8.58,8.88,9.28,9.78,10.24,10.06,,8.05,8.02,10.55,11.99,1985.0,47.0,-0.13,-0.46
1985-12-01,1985-12-01,7.33,7.67,8.15,8.4,8.73,9.26,9.75,9.54,,8.27,8.13,10.16,11.58,1985.0,48.0,-0.21,-0.52
