date,daten,year,month,exsales,exsales_sa,exsales_ma11,construct,construct_sa
1999-01-01,1999-01-01,1999.0,1999-01-01,291000.0,435833.34,,48746.0,59068.168
1999-02-01,1999-02-01,1999.0,1999-02-01,293000.0,425000.0,,48824.0,60525.668
1999-03-01,1999-03-01,1999.0,1999-03-01,412000.0,429166.66,,55607.0,61435.5
1999-04-01,1999-04-01,1999.0,1999-04-01,454000.0,423333.34,,58654.0,60732.332
1999-05-01,1999-05-01,1999.0,1999-05-01,472000.0,432500.0,,62209.0,60613.168
1999-06-01,1999-06-01,1999.0,1999-06-01,560000.0,452500.0,434818.2,67545.0,61597.25
1999-07-01,1999-07-01,1999.0,1999-07-01,528000.0,437500.0,444818.2,68522.0,62151.25
1999-08-01,1999-08-01,1999.0,1999-08-01,529000.0,435833.34,444181.8,69975.0,61793.668
1999-09-01,1999-09-01,1999.0,1999-09-01,432000.0,426666.66,434909.1,70034.0,62616.832
1999-10-01,1999-10-01,1999.0,1999-10-01,417000.0,425833.34,431818.2,68669.0,63325.5
1999-11-01,1999-11-01,1999.0,1999-11-01,395000.0,424166.66,428181.8,66684.0,65099.918
1999-12-01,1999-12-01,1999.0,1999-12-01,401000.0,423333.34,421727.28,59082.0,65785.914
2000-01-01,2000-01-01,2000.0,2000-01-01,286000.0,435833.34,422909.1,53782.0,65411.668
2000-02-01,2000-02-01,2000.0,2000-02-01,310000.0,426666.66,419545.47,53993.0,66144.75
2000-03-01,2000-03-01,2000.0,2000-03-01,420000.0,432500.0,428727.28,61295.0,67454.914
2000-04-01,2000-04-01,2000.0,2000-04-01,432000.0,433333.34,431090.9,64524.0,67063.836
2000-05-01,2000-05-01,2000.0,2000-05-01,489000.0,425833.34,434636.38,69253.0,67083.75
2000-06-01,2000-06-01,2000.0,2000-06-01,541000.0,427500.0,435272.72,72715.0,66284.25
2000-07-01,2000-07-01,2000.0,2000-07-01,492000.0,425833.34,444272.72,71774.0,65316.25
2000-08-01,2000-08-01,2000.0,2000-08-01,533000.0,430833.34,442909.1,76132.0,67111.75
2000-09-01,2000-09-01,2000.0,2000-09-01,443000.0,440833.34,432454.53,75153.0,67860.836
2000-10-01,2000-10-01,2000.0,2000-10-01,434000.0,437500.0,433000.0,73550.0,68008.336
2000-11-01,2000-11-01,2000.0,2000-11-01,408000.0,445833.34,429818.2,69677.0,68337.836
2000-12-01,2000-12-01,2000.0,2000-12-01,385000.0,425000.0,426636.38,60910.0,67626.336
2001-01-01,2001-01-01,2001.0,2001-01-01,295000.0,425000.0,432545.47,56855.0,67873.25
2001-02-01,2001-02-01,2001.0,2001-02-01,305000.0,435833.34,432727.28,55529.0,67803.914
2001-03-01,2001-03-01,2001.0,2001-03-01,438000.0,454166.66,443909.1,62808.0,69004.75
2001-04-01,2001-04-01,2001.0,2001-04-01,454000.0,443333.34,442636.38,67787.0,70199.336
2001-05-01,2001-05-01,2001.0,2001-05-01,506000.0,439166.66,445818.2,72920.0,70678.836
2001-06-01,2001-06-01,2001.0,2001-06-01,557000.0,452500.0,447636.38,78004.0,71310.836
2001-07-01,2001-07-01,2001.0,2001-07-01,535000.0,452500.0,458000.0,78281.0,70872.586
2001-08-01,2001-08-01,2001.0,2001-08-01,566000.0,456666.66,461363.62,79916.0,70622.086
2001-09-01,2001-09-01,2001.0,2001-09-01,420000.0,435833.34,452818.2,76605.0,69784.336
2001-10-01,2001-10-01,2001.0,2001-10-01,443000.0,437500.0,451363.62,76302.0,70495.086
2001-11-01,2001-11-01,2001.0,2001-11-01,405000.0,436666.66,451000.0,71543.0,70325.914
2001-12-01,2001-12-01,2001.0,2001-12-01,409000.0,457500.0,449727.28,63697.0,70807.414
2002-01-01,2002-01-01,2002.0,2002-01-01,342000.0,488333.34,450363.62,59516.0,71554.5
2002-02-01,2002-02-01,2002.0,2002-02-01,344000.0,491666.66,448363.62,58588.0,71861.5
2002-03-01,2002-03-01,2002.0,2002-03-01,438000.0,469166.66,460090.9,63782.0,70379.25
2002-04-01,2002-04-01,2002.0,2002-04-01,502000.0,472500.0,461363.62,69504.0,71520.0
2002-05-01,2002-05-01,2002.0,2002-05-01,543000.0,470000.0,468272.72,73384.0,70911.25
2002-06-01,2002-06-01,2002.0,2002-06-01,542000.0,459166.66,470181.8,77182.0,70564.75
2002-07-01,2002-07-01,2002.0,2002-07-01,544000.0,450833.34,480818.2,78863.0,70594.086
2002-08-01,2002-08-01,2002.0,2002-08-01,549000.0,446666.66,481545.47,79460.0,69917.336
2002-09-01,2002-09-01,2002.0,2002-09-01,457000.0,460000.0,473545.47,76542.0,69344.5
2002-10-01,2002-10-01,2002.0,2002-10-01,481000.0,473333.34,468454.53,75710.0,69974.164
2002-11-01,2002-11-01,2002.0,2002-11-01,430000.0,477500.0,466090.9,71362.0,70391.414
2002-12-01,2002-12-01,2002.0,2002-12-01,459000.0,497500.0,468181.8,63984.0,71326.75
2003-01-01,2003-01-01,2003.0,2003-01-01,352000.0,502500.0,473363.62,59877.0,71987.914
2003-02-01,2003-02-01,2003.0,2003-02-01,350000.0,501666.66,480909.1,58526.0,71602.086
2003-03-01,2003-03-01,2003.0,2003-03-01,446000.0,488333.34,498000.0,64506.0,70927.664
2003-04-01,2003-04-01,2003.0,2003-04-01,517000.0,486666.66,505727.28,69638.0,71621.586
2003-05-01,2003-05-01,2003.0,2003-05-01,565000.0,495000.0,516272.72,74473.0,72234.5
2003-06-01,2003-06-01,2003.0,2003-06-01,601000.0,495000.0,515090.9,80377.0,73405.414
2003-07-01,2003-07-01,2003.0,2003-07-01,632000.0,522500.0,529454.56,82971.0,74272.0
2003-08-01,2003-08-01,2003.0,2003-08-01,645000.0,543333.3,529636.4,85191.0,75153.25
2003-09-01,2003-09-01,2003.0,2003-09-01,566000.0,548333.3,523454.53,83841.0,75965.75
2003-10-01,2003-10-01,2003.0,2003-10-01,546000.0,532500.0,524727.25,83133.0,77144.336
2003-11-01,2003-11-01,2003.0,2003-11-01,446000.0,519166.66,528454.56,77915.0,77165.414
2003-12-01,2003-12-01,2003.0,2003-12-01,510000.0,540833.3,530454.56,71050.0,79040.914
2004-01-01,2004-01-01,2004.0,2004-01-01,352000.0,519166.66,538909.06,64934.0,78235.5
2004-02-01,2004-02-01,2004.0,2004-02-01,378000.0,534166.7,542181.8,64138.0,78221.336
2004-03-01,2004-03-01,2004.0,2004-03-01,531000.0,555000.0,552272.75,73238.0,80078.836
2004-04-01,2004-04-01,2004.0,2004-04-01,606000.0,560833.3,554454.56,78354.0,80646.75
2004-05-01,2004-05-01,2004.0,2004-05-01,623000.0,570833.3,564545.44,83736.0,81179.836
2004-06-01,2004-06-01,2004.0,2004-06-01,725000.0,576666.7,566545.44,89932.0,81922.664
2004-07-01,2004-07-01,2004.0,2004-07-01,681000.0,570000.0,584181.8,93614.0,83843.25
2004-08-01,2004-08-01,2004.0,2004-08-01,677000.0,558333.3,584545.44,96164.0,84477.0
2004-09-01,2004-09-01,2004.0,2004-09-01,570000.0,556666.7,572818.2,92538.0,84357.5
2004-10-01,2004-10-01,2004.0,2004-10-01,557000.0,570833.3,568272.75,90582.0,84630.164
2004-11-01,2004-11-01,2004.0,2004-11-01,532000.0,580000.0,568454.56,86394.0,85267.5
2004-12-01,2004-12-01,2004.0,2004-12-01,546000.0,574166.7,563363.6,77733.0,86473.664
