xbar,stdev,numobs
2.14,0.8878529,100.0
2.08,0.8370221,100.0
2.09,0.87726617,100.0
2.0,0.9320337,100.0
2.05,0.914253,100.0
2.08,0.88397634,100.0
2.05,0.9031371,100.0
1.93,0.91292626,100.0
2.15,0.84536767,100.0
2.03,0.9369519,100.0
2.21,0.879566,100.0
2.0,0.9320337,100.0
2.14,0.86479986,100.0
1.97,0.88140154,100.0
2.07,0.86754036,100.0
1.8,0.87617165,100.0
2.12,0.8678314,100.0
2.0,0.9211324,100.0
2.08,0.87247473,100.0
2.04,0.9311663,100.0
1.9,0.89329714,100.0
1.94,0.8969083,100.0
2.06,0.9081005,100.0
1.87,0.84870666,100.0
1.99,0.8703303,100.0
1.95,0.914253,100.0
2.01,0.9044782,100.0
2.02,0.90987843,100.0
2.1,0.90453404,100.0
2.0,0.88762534,100.0
1.97,0.9261084,100.0
1.88,0.8561129,100.0
2.04,0.8752489,100.0
2.07,0.95616025,100.0
2.07,0.8905225,100.0
1.89,0.8396127,100.0
1.99,0.9155779,100.0
2.04,0.9092121,100.0
1.92,0.88397634,100.0
2.11,0.8749603,100.0
1.82,0.86899453,100.0
1.95,0.8918826,100.0
2.12,0.9020739,100.0
1.99,0.89324063,100.0
2.11,0.8977525,100.0
2.05,0.85723305,100.0
1.84,0.89578134,100.0
1.99,0.9044782,100.0
2.06,0.9081005,100.0
1.99,0.89324063,100.0
2.02,0.92091304,100.0
2.01,0.9044782,100.0
1.92,0.88397634,100.0
2.3,0.8819171,100.0
2.06,0.88557464,100.0
1.98,0.90987843,100.0
1.98,0.87594104,100.0
1.99,0.8703303,100.0
2.05,0.914253,100.0
2.0,0.8989332,100.0
1.93,0.91292626,100.0
1.95,0.85723305,100.0
2.05,0.9031371,100.0
2.1,0.89329714,100.0
1.89,0.8749603,100.0
1.93,0.90179396,100.0
2.09,0.9,100.0
1.85,0.9031371,100.0
1.9,0.8819171,100.0
1.98,0.90987843,100.0
1.93,0.92392445,100.0
1.94,0.87409407,100.0
2.06,0.88557464,100.0
1.95,0.85723305,100.0
1.87,0.84870666,100.0
2.0,0.91010046,100.0
2.02,0.88739777,100.0
1.96,0.8752489,100.0
1.95,0.8804843,100.0
2.05,0.8918826,100.0
1.97,0.9261084,100.0
1.97,0.9369519,100.0
1.84,0.86128867,100.0
2.02,0.90987843,100.0
1.76,0.854223,100.0
1.89,0.8977525,100.0
1.91,0.8539274,100.0
1.89,0.8977525,100.0
1.92,0.88397634,100.0
1.97,0.88140154,100.0
2.1,0.90453404,100.0
2.09,0.93306273,100.0
2.0,0.8989332,100.0
1.99,0.8703303,100.0
1.93,0.91292626,100.0
1.98,0.8987084,100.0
1.88,0.9132028,100.0
2.01,0.88185984,100.0
2.03,0.8927882,100.0
2.02,0.8987084,100.0
2.0,0.9320337,100.0
2.14,0.9213517,100.0
2.15,0.8689364,100.0
1.86,0.9213517,100.0
1.85,0.9031371,100.0
1.86,0.8764022,100.0
1.92,0.9176166,100.0
2.04,0.9092121,100.0
2.07,0.8905225,100.0
2.02,0.8987084,100.0
2.06,0.88557464,100.0
2.08,0.9393744,100.0
1.88,0.83218104,100.0
2.03,0.9040314,100.0
2.05,0.914253,100.0
2.03,0.9040314,100.0
2.04,0.86363107,100.0
1.93,0.91292626,100.0
2.01,0.9044782,100.0
1.99,0.89324063,100.0
2.09,0.8887058,100.0
2.03,0.91513646,100.0
1.91,0.9111542,100.0
2.08,0.8953302,100.0
1.89,0.8977525,100.0
2.03,0.8927882,100.0
1.96,0.9092121,100.0
2.05,0.8689364,100.0
2.05,0.8689364,100.0
1.94,0.8969083,100.0
1.89,0.90893435,100.0
1.97,0.88140154,100.0
1.95,0.84536767,100.0
1.93,0.91292626,100.0
2.08,0.8953302,100.0
2.09,0.8887058,100.0
2.11,0.8749603,100.0
1.79,0.86800593,100.0
1.93,0.8791065,100.0
2.09,0.92217356,100.0
1.96,0.9311663,100.0
1.83,0.8768055,100.0
1.95,0.914253,100.0
1.93,0.8791065,100.0
1.88,0.890806,100.0
2.06,0.8506682,100.0
2.09,0.93306273,100.0
2.03,0.9261084,100.0
1.93,0.92392445,100.0
1.87,0.91734135,100.0
1.96,0.9202547,100.0
1.96,0.8867145,100.0
2.05,0.85723305,100.0
1.86,0.8991579,100.0
1.94,0.9191564,100.0
2.12,0.8561129,100.0
2.15,0.8804843,100.0
2.01,0.9155779,100.0
1.97,0.8927882,100.0
2.09,0.9,100.0
1.96,0.89803374,100.0
1.98,0.88739777,100.0
1.98,0.92091304,100.0
2.06,0.8969083,100.0
2.16,0.89578134,100.0
2.17,0.899551,100.0
2.0,0.9211324,100.0
1.87,0.91734135,100.0
1.92,0.9393744,100.0
2.02,0.88739777,100.0
2.12,0.9020739,100.0
1.82,0.86899453,100.0
1.84,0.89578134,100.0
1.98,0.92091304,100.0
2.01,0.89324063,100.0
2.08,0.88397634,100.0
2.0,0.91010046,100.0
2.02,0.8406347,100.0
2.09,0.86567545,100.0
2.09,0.93306273,100.0
1.82,0.8919392,100.0
2.01,0.89324063,100.0
2.02,0.88739777,100.0
2.13,0.9062633,100.0
2.03,0.91513646,100.0
1.74,0.824131,100.0
1.92,0.87247473,100.0
1.93,0.86754036,100.0
2.02,0.88739777,100.0
1.98,0.8987084,100.0
2.04,0.9092121,100.0
1.94,0.88557464,100.0
1.98,0.8987084,100.0
2.02,0.90987843,100.0
1.92,0.88397634,100.0
1.94,0.88557464,100.0
1.91,0.9111542,100.0
2.05,0.8804843,100.0
1.9,0.89329714,100.0
1.98,0.92091304,100.0
2.0,0.8989332,100.0
2.04,0.8867145,100.0
2.01,0.88185984,100.0
1.91,0.9,100.0
1.95,0.8804843,100.0
2.12,0.87939376,100.0
2.0,0.9320337,100.0
1.94,0.88557464,100.0
1.93,0.8905225,100.0
2.12,0.9020739,100.0
1.84,0.89578134,100.0
1.92,0.88397634,100.0
1.98,0.8643325,100.0
1.99,0.88185984,100.0
2.03,0.8927882,100.0
1.89,0.88642967,100.0
2.3,0.90453404,100.0
2.06,0.8624607,100.0
1.93,0.85581785,100.0
1.92,0.9065419,100.0
2.09,0.93306273,100.0
2.05,0.92523545,100.0
1.81,0.906709,100.0
1.95,0.9031371,100.0
2.01,0.9044782,100.0
2.1,0.8819171,100.0
2.04,0.9092121,100.0
2.0,0.91010046,100.0
2.0,0.91010046,100.0
2.01,0.9155779,100.0
2.01,0.88185984,100.0
1.92,0.9065419,100.0
1.81,0.906709,100.0
2.0,0.94280905,100.0
1.88,0.890806,100.0
1.85,0.8804843,100.0
1.88,0.8678314,100.0
2.07,0.8905225,100.0
2.17,0.899551,100.0
1.97,0.8698659,100.0
2.09,0.93306273,100.0
2.15,0.8804843,100.0
1.84,0.89578134,100.0
2.11,0.90893435,100.0
1.84,0.8494799,100.0
1.95,0.914253,100.0
2.12,0.92419773,100.0
1.96,0.9311663,100.0
1.96,0.9311663,100.0
1.96,0.9311663,100.0
1.84,0.8729377,100.0
1.93,0.91292626,100.0
1.89,0.8977525,100.0
2.02,0.8643325,100.0
2.04,0.8277998,100.0
2.0,0.91010046,100.0
2.11,0.9199802,100.0
1.97,0.9261084,100.0
2.08,0.9065419,100.0
2.06,0.9300809,100.0
2.13,0.84870666,100.0
1.9,0.87038827,100.0
2.15,0.8804843,100.0
2.09,0.9111542,100.0
2.02,0.88739777,100.0
2.01,0.89324063,100.0
1.98,0.92091304,100.0
1.85,0.8804843,100.0
1.93,0.91292626,100.0
2.01,0.88185984,100.0
2.16,0.88443327,100.0
2.0,0.88762534,100.0
1.95,0.8918826,100.0
1.84,0.89578134,100.0
1.98,0.87594104,100.0
1.81,0.87264836,100.0
1.98,0.87594104,100.0
2.18,0.8919392,100.0
2.04,0.8752489,100.0
1.82,0.83339393,100.0
1.94,0.8969083,100.0
2.01,0.89324063,100.0
1.94,0.9300809,100.0
1.83,0.8768055,100.0
