year,urate,gdpdef,inflgdp,pastinflgdp,inflgdp1yr,cpi,inflcpi,pastinflcpi,infcpi1yr,infcpi10yr,mich,date,daten
1949.0,6.6,13.518,-1.9653347,,,23.6,-2.074689,7.698837,,,,1949-10-01,1949-10-01
1950.0,4.3,14.09,4.2313952,,,25.0,5.9322033,3.648189,,,,1950-10-01,1950-10-01
1951.0,3.1,14.869,5.5287437,,,26.5,6.0,3.2324862,,,,1951-10-01,1951-10-01
1952.0,2.7,15.091,1.4930393,3.4742608,,26.7,0.754717,4.0638685,,,,1952-10-01,1952-10-01
1953.0,4.5,15.219,0.8481877,2.9055843,,26.9,0.7490637,3.0808585,,,,1953-10-01,1953-10-01
1954.0,5.0,15.343,0.814771,2.316075,,26.7,-0.74349445,2.3192608,,,,1954-10-01,1954-10-01
1955.0,4.2,15.743,2.607052,1.431847,,26.8,0.37453184,0.67826474,,,,1955-10-01,1955-10-01
1956.0,4.2,16.264,3.3094075,1.6061935,,27.6,2.9850745,0.15204883,,,,1956-10-01,1956-10-01
1957.0,5.2,16.711,2.7484014,2.3536515,,28.4,2.8985507,1.2325969,,,,1957-10-01,1957-10-01
1958.0,6.2,17.123,2.465442,2.6950703,,28.9,1.7605634,2.0554996,,,,1958-10-01,1958-10-01
1959.0,5.3,17.326,1.18554,2.733284,,29.4,1.7301039,2.2082586,,,,1959-10-01,1959-10-01
1960.0,6.6,17.56,1.3505714,2.0944695,,29.8,1.3605442,2.0984282,,,,1960-10-01,1960-10-01
1961.0,6.0,17.745,1.0535307,1.6638191,,30.0,0.67114097,1.7052165,,,,1961-10-01,1961-10-01
1962.0,5.5,17.938,1.0876303,1.3102359,,30.4,1.3333334,1.1986967,,,,1962-10-01,1962-10-01
1963.0,5.5,18.216,1.5497826,1.1397796,,30.9,1.6447369,1.1797949,,,,1963-10-01,1963-10-01
1964.0,5.0,18.476,1.4273167,1.2919654,,31.2,0.9708738,1.3281773,,,,1964-10-01,1964-10-01
1965.0,4.0,18.853,2.040485,1.3587406,,31.8,1.9230769,1.2155514,,,,1965-10-01,1965-10-01
1966.0,3.8,19.481,3.331035,1.6631085,,32.9,3.4591196,1.5227736,,,,1966-10-01,1966-10-01
1967.0,3.8,20.067,3.008059,2.385001,,33.9,3.0395136,2.3192194,,,,1967-10-01,1967-10-01
1968.0,3.4,20.999,4.644441,2.7533627,,35.5,4.719764,2.735244,,,,1968-10-01,1968-10-01
1969.0,3.5,22.071,5.105005,3.6304495,,37.7,6.197183,3.6838913,,,,1969-10-01,1969-10-01
1970.0,6.1,23.182,5.033755,4.3700495,3.54,39.8,5.570292,4.848617,,,,1970-10-01,1970-10-01
1971.0,6.0,24.288,4.770943,4.7746973,3.42,41.1,3.2663317,5.335176,,,,1971-10-01,1971-10-01
1972.0,5.2,25.366,4.438406,4.903949,3.7,42.5,3.406326,4.6890335,,,,1972-10-01,1972-10-01
1973.0,4.9,27.077,6.7452497,4.723897,5.37,46.2,8.705882,4.0762067,,,,1973-10-01,1973-10-01
1974.0,7.2,29.923,10.510766,5.487186,7.68,51.9,12.337663,5.714546,,,,1974-10-01,1974-10-01
1975.0,8.2,32.139,7.4056745,7.592657,6.21,55.5,6.936416,8.5547285,,,,1975-10-01,1975-10-01
1976.0,7.8,33.815,5.214848,7.90839,5.73,58.2,4.864865,8.557674,,,,1976-10-01,1976-10-01
1977.0,6.4,36.036,6.568091,7.0843196,5.96,62.1,6.7010307,7.3649917,,,,1977-10-01,1977-10-01
1978.0,6.0,38.661,7.2843823,6.723902,7.09,67.7,9.017714,6.7609215,,,7.3,1978-10-01,1978-10-01
1979.0,6.0,41.986,8.600398,6.6677175,8.19,76.7,13.293943,7.2840095,,,9.9,1979-10-01,1979-10-01
1980.0,7.2,46.046,9.66989,7.460577,9.37,86.3,12.516297,9.849584,,,9.7,1980-10-01,1980-10-01
1981.0,8.5,49.863,8.289536,8.561761,7.52,94.0,8.922364,11.468348,7.7,,5.3,1981-10-01,1981-10-01
1982.0,10.8,52.483,5.254397,8.665299,5.59,97.6,3.8297873,10.884395,5.5,,3.7,1982-10-01,1982-10-01
1983.0,8.3,54.219,3.3077378,7.3826375,5.53,101.3,3.7909837,8.041278,5.15,,3.5,1983-10-01,1983-10-01
1984.0,7.3,56.079,3.4305317,5.5243106,4.41,105.3,3.9486673,5.701432,4.42,,3.3,1984-10-01,1984-10-01
1985.0,7.0,57.738,2.9583266,4.244367,3.97,109.3,3.7986705,4.374956,3.85,,3.5,1985-10-01,1985-10-01
1986.0,6.6,58.813,1.8618587,3.3994775,3.11,110.5,1.0978957,3.845244,3.62,,3.0,1986-10-01,1986-10-01
1987.0,5.7,60.567,2.982334,2.6491215,3.62,115.4,4.434389,2.7475913,4.37,,3.1,1987-10-01,1987-10-01
1988.0,5.3,62.859,3.784239,2.6862097,4.37,120.5,4.4194107,3.2577252,4.9,,3.9,1988-10-01,1988-10-01
1989.0,5.4,65.122,3.600121,3.0766003,3.98,126.1,4.647303,3.6975272,4.23,,3.5,1989-10-01,1989-10-01
1990.0,6.3,67.622,3.8389485,3.3579729,4.26,133.8,6.106265,4.1814117,4.51,,4.7,1990-10-01,1990-10-01
1991.0,7.3,69.643,2.9886723,3.670697,3.19,137.9,3.064275,5.164018,3.55,4.0,2.7,1991-10-01,1991-10-01
