cape,gs10,inflation,year
18.47,3.7,-5.71,1881.0
15.68,3.62,8.07,1882.0
15.27,3.63,-1.87,1883.0
14.43,3.62,-7.61,1884.0
13.13,3.52,-10.29,1885.0
16.69,3.37,-3.5,1886.0
17.51,3.52,0.0,1887.0
15.36,3.67,4.76,1888.0
15.8,3.45,-4.54,1889.0
17.22,3.42,-4.76,1890.0
15.43,3.62,2.5,1891.0
19.02,3.6,-6.03,1892.0
17.66,3.75,7.78,1893.0
15.74,3.7,-13.29,1894.0
16.52,3.46,-4.09,1895.0
16.58,3.6,1.37,1896.0
17.03,3.4,-2.85,1897.0
19.25,3.35,2.94,1898.0
22.93,3.1,1.5,1899.0
18.67,3.15,16.86,1900.0
20.98,3.1,-2.41,1901.0
22.34,3.18,2.46,1902.0
20.32,3.3,9.62,1903.0
15.86,3.4,-4.39,1904.0
18.46,3.48,2.29,1905.0
20.13,3.43,0.0,1906.0
17.22,3.67,4.49,1907.0
11.9,3.87,-2.15,1908.0
14.76,3.76,3.23,1909.0
14.55,3.91,10.74,1910.0
14.05,3.98,-6.77,1911.0
13.79,4.01,-1.08,1912.0
13.15,4.45,7.34,1913.0
11.64,4.16,2.04,1914.0
10.36,4.24,1.0,1915.0
12.54,4.05,2.97,1916.0
10.99,4.23,12.5,1917.0
6.64,4.57,19.66,1918.0
6.1,4.5,17.86,1919.0
5.99,4.97,16.97,1920.0
5.12,5.09,-1.55,1921.0
6.29,4.3,-11.05,1922.0
8.15,4.36,-0.59,1923.0
8.07,4.06,2.98,1924.0
9.69,3.86,0.0,1925.0
11.34,3.68,3.47,1926.0
13.19,3.34,-2.23,1927.0
18.81,3.33,-1.14,1928.0
27.08,3.6,-1.16,1929.0
22.31,3.29,0.0,1930.0
16.71,3.34,-7.02,1931.0
9.31,3.68,-10.06,1932.0
8.73,3.31,-9.79,1933.0
13.03,3.12,2.33,1934.0
11.5,2.79,3.03,1935.0
17.09,2.65,1.47,1936.0
21.62,2.68,2.17,1937.0
13.51,2.56,0.71,1938.0
15.6,2.36,-1.41,1939.0
16.38,2.21,-0.71,1940.0
13.9,1.95,1.44,1941.0
10.1,2.46,11.35,1942.0
10.15,2.47,7.64,1943.0
11.05,2.48,2.96,1944.0
11.96,2.37,2.3,1945.0
15.62,2.19,2.25,1946.0
11.47,2.25,18.13,1947.0
10.42,2.44,10.23,1948.0
10.25,2.31,1.27,1949.0
10.75,2.32,-2.08,1950.0
11.9,2.57,8.09,1951.0
12.53,2.68,4.33,1952.0
13.01,2.83,0.38,1953.0
12.0,2.48,1.13,1954.0
15.99,2.61,-0.74,1955.0
18.29,2.9,0.37,1956.0
16.72,3.46,2.99,1957.0
13.79,3.09,3.62,1958.0
17.98,4.02,1.4,1959.0
18.34,4.72,1.03,1960.0
18.47,3.84,1.71,1961.0
21.2,4.08,0.67,1962.0
19.26,3.83,1.33,1963.0
21.63,4.17,1.64,1964.0
23.27,4.19,0.97,1965.0
24.06,4.61,1.92,1966.0
20.43,4.58,3.46,1967.0
21.51,5.53,3.65,1968.0
21.19,6.04,4.4,1969.0
17.09,7.79,6.18,1970.0
16.46,6.24,5.29,1971.0
17.26,5.95,3.27,1972.0
18.71,6.46,3.65,1973.0
13.53,6.99,9.39,1974.0
8.92,7.5,11.8,1975.0
11.19,7.74,6.72,1976.0
11.44,7.21,5.22,1977.0
9.24,7.96,6.84,1978.0
9.26,9.1,9.28,1979.0
8.85,10.8,13.91,1980.0
9.26,12.57,11.83,1981.0
7.39,14.59,8.39,1982.0
8.76,10.46,3.71,1983.0
9.89,11.67,4.19,1984.0
10.0,11.38,3.53,1985.0
11.72,9.19,3.89,1986.0
14.92,7.08,1.46,1987.0
13.9,8.67,4.05,1988.0
15.09,9.09,4.67,1989.0
17.05,8.21,5.2,1990.0
15.61,8.09,5.65,1991.0
19.77,7.03,2.6,1992.0
20.32,6.6,3.26,1993.0
21.41,5.75,2.52,1994.0
20.22,7.78,2.8,1995.0
24.76,5.65,2.73,1996.0
28.33,6.58,3.04,1997.0
32.86,5.54,1.57,1998.0
40.58,4.72,1.67,1999.0
43.77,6.66,2.74,2000.0
36.98,5.16,3.73,2001.0
30.28,5.04,1.14,2002.0
22.9,4.05,2.6,2003.0
27.66,4.15,1.93,2004.0
26.59,4.22,2.97,2005.0
26.47,4.42,3.99,2006.0
27.21,4.76,2.08,2007.0
24.02,3.74,4.28,2008.0
15.17,2.52,0.03,2009.0
20.53,3.73,2.63,2010.0
22.98,3.39,1.63,2011.0
21.21,1.97,2.93,2012.0
21.9,1.91,1.59,2013.0
24.86,2.86,1.58,2014.0
26.49,1.88,-0.09,2015.0
24.21,2.09,1.37,2016.0
28.06,2.43,2.5,2017.0
33.31,2.58,2.07,2018.0
28.38,2.71,1.55,2019.0
30.99,1.76,2.49,2020.0
