gdpc1,gdp,gdpdef,date,daten,quarter,popthm,year,realgdp,gdppc,realgdppc,growth
3121.936,510.33,16.347,1959-01-01,1959-01-01,-4.0,176044.0,1959.0,3121.8572,2898.8557,17733.258,
3192.38,522.653,16.372,1959-04-01,1959-04-01,-3.0,176723.0,1959.0,3192.359,2957.4087,18063.82,
3194.653,525.034,16.435,1959-07-01,1959-07-01,-2.0,177479.0,1959.0,3194.6091,2958.2603,17999.758,
3203.759,528.6,16.499,1959-10-01,1959-10-01,-1.0,178273.0,1959.0,3203.8306,2965.2039,17972.021,
3275.757,542.648,16.566,1960-01-01,1960-01-01,0.0,179326.0,1960.0,3275.673,3026.1545,18267.262,3.011313
3258.088,541.08,16.607,1960-04-01,1960-04-01,1.0,180408.0,1960.0,3258.144,2999.318,18060.564,-0.018024202
3274.029,545.604,16.665,1960-07-01,1960-07-01,2.0,181308.0,1960.0,3273.9514,3009.382,18058.1,0.32412547
3232.009,540.197,16.714,1960-10-01,1960-10-01,3.0,182026.0,1960.0,3232.0032,2967.8003,17756.373,-1.199912
3253.826,545.018,16.75,1961-01-01,1961-01-01,4.0,182631.0,1961.0,3253.8389,2984.2087,17816.172,-2.4693894
3309.059,555.545,16.789,1961-04-01,1961-04-01,5.0,183335.0,1961.0,3308.9822,3030.1794,18048.6,-0.06624845
3372.581,567.664,16.832,1961-07-01,1961-07-01,6.0,184101.0,1961.0,3372.5286,3083.399,18318.672,1.4429661
3438.721,580.612,16.885,1961-10-01,1961-10-01,7.0,184900.0,1961.0,3438.626,3140.237,18597.791,4.7386813
3500.054,594.013,16.972,1962-01-01,1962-01-01,8.0,185551.0,1962.0,3499.9587,3201.3062,18862.28,5.8716736
3531.683,600.366,16.999,1962-04-01,1962-04-01,9.0,186201.0,1962.0,3531.7725,3224.261,18967.357,5.090466
3575.07,609.027,17.035,1962-07-01,1962-07-01,10.0,186924.0,1962.0,3575.1511,3258.1125,19125.99,4.407079
3586.827,612.28,17.07,1962-10-01,1962-10-01,11.0,187685.0,1962.0,3586.8774,3262.3672,19111.7,2.7632754
3625.981,621.672,17.145,1963-01-01,1963-01-01,12.0,188300.0,1963.0,3625.9668,3301.5151,19256.432,2.0896327
3666.669,629.752,17.175,1963-04-01,1963-04-01,13.0,188904.0,1963.0,3666.6782,3333.6733,19410.033,2.3338823
3747.278,644.444,17.198,1963-07-01,1963-07-01,14.0,189629.0,1963.0,3747.2031,3398.4106,19760.498,3.317516
3771.845,653.938,17.337,1963-10-01,1963-10-01,15.0,190369.0,1963.0,3771.9214,3435.234,19814.467,3.677159
3851.366,669.822,17.392,1964-01-01,1964-01-01,16.0,190953.0,1964.0,3851.3225,3507.7664,20168.85,4.7382507
3893.296,678.674,17.432,1964-04-01,1964-04-01,17.0,191557.0,1964.0,3893.2654,3542.8735,20323.965,4.708553
3954.121,692.031,17.502,1964-07-01,1964-07-01,18.0,192254.0,1964.0,3954.011,3599.5288,20566.385,4.0782714
3966.335,697.319,17.581,1964-10-01,1964-10-01,19.0,192943.0,1964.0,3966.3215,3614.219,20557.527,3.750091
4062.311,717.79,17.67,1965-01-01,1965-01-01,20.0,193467.0,1965.0,4062.1958,3710.1482,20996.877,4.1054764
4113.629,730.191,17.751,1965-04-01,1965-04-01,21.0,193988.0,1965.0,4113.5205,3763.9875,21204.37,4.331853
