id,black,imigrnt,hhead,mag_14,news_14,lib_14,num_sib,fgrade,mgrade,iq,bdate,gfill76,wt76,grade76,grade66,age66,smsa66,region,smsa76,col4,mcol4,col4pub,south76,wage76,exp76,expsq76,age76,agesq76,reg1,reg2,reg3,reg4,reg5,reg6,reg7,reg8,reg9,momdad14,sinmom14,nodaded,nomomed,daded,momed,famed,famed1,famed2,famed3,famed4,famed5,famed6,famed7,famed8,famed9,int76,age1415,age1617,age1819,age2021,age2224,cage1415,cage1617,cage1819,cage2021,cage2224,cage66,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,ca1,ca2,ca3,ca4,ca5,ca6,ca7,ca8,ca9,ca10,ca11,ca12,g25,g25i,intmo66,nlsflt,nsib,ns1,ns2,ns3,ns4,ns5,ns6,ns7
2.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,,,,450730.0,7.0,272447.0,7.0,5.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.7011,16.0,2.56,29.0,841.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.9372,10.251,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,11.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,93.0,490122.0,12.0,508965.0,12.0,11.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5707,9.0,0.81,27.0,729.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,14.0,12.0,103.0,420214.0,12.0,563123.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.9755,16.0,2.56,34.0,1156.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,12.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,11.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,1.0,0.0,1.0,1.0,,11.0,12.0,88.0,490318.0,11.0,508965.0,11.0,11.0,17.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.9163,10.0,1.0,27.0,729.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,7.0,108.0,410516.0,12.0,563123.0,12.0,12.0,24.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.9865,16.0,2.56,34.0,1156.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,1.0,1.0,1.0,1.0,,9.0,12.0,85.0,490429.0,12.0,508965.0,12.0,11.0,16.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.6094,8.0,0.64,26.0,676.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,11.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,14.0,14.0,119.0,430111.0,18.0,552229.0,18.0,16.0,23.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.7317,9.0,0.81,33.0,1089.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,16.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,14.0,14.0,108.0,461204.0,14.0,821952.0,14.0,13.0,19.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.805,9.0,0.81,29.0,841.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,1.0,1.0,1.0,0.0,,12.0,12.0,96.0,480330.0,12.0,492372.0,12.0,12.0,18.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.4469,10.0,1.0,28.0,784.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,11.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,1.0,1.0,1.0,1.0,,12.0,12.0,97.0,470322.0,12.0,962107.0,12.0,12.0,19.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.639,11.0,1.21,29.0,841.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,11.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
