salary,lnsalary,satverb,satmath,highgrade,age,sex,minority,height,weight,genhealth,actscore
52000.0,10.858999,550,550,14,28.0,0,1.0,67.0,189,1,
62000.0,11.034889,750,350,12,28.0,0,1.0,66.0,178,2,
24000.0,10.085809,350,550,18,28.0,0,0.0,71.0,190,1,
38000.0,10.5453415,450,450,16,28.0,0,1.0,74.0,200,5,
54000.0,10.896739,350,350,15,27.0,1,1.0,59.0,115,3,
80000.0,11.289782,550,550,16,28.0,0,0.0,69.0,136,1,
37500.0,10.532096,550,550,16,27.0,0,0.0,67.0,180,2,
40000.0,10.596635,750,650,17,27.0,1,0.0,61.0,117,2,
21000.0,9.952278,550,550,14,28.0,1,1.0,60.0,162,1,33.5
45000.0,10.714417,450,450,16,27.0,1,1.0,67.0,175,2,
75000.0,11.225244,650,650,18,28.0,1,0.0,65.0,170,2,
4000.0,8.294049,450,450,18,26.0,0,0.0,69.0,160,4,
37500.0,10.532096,550,450,16,28.0,0,1.0,72.0,178,2,
35000.0,10.463103,450,350,12,26.0,1,1.0,63.0,136,3,
38000.0,10.5453415,450,450,16,28.0,1,1.0,69.0,190,4,
50000.0,10.819778,350,450,12,27.0,0,0.0,66.0,215,2,
70000.0,11.156251,650,550,16,28.0,1,0.0,63.0,125,2,27.5
47000.0,10.757903,650,550,16,26.0,0,0.0,72.0,188,1,
50000.0,10.819778,550,550,16,28.0,1,0.0,63.0,104,2,21.5
54000.0,10.896739,550,550,18,26.0,1,0.0,69.0,155,1,21.5
2000.0,7.6009026,550,550,17,26.0,0,0.0,75.0,180,1,
18000.0,9.798127,350,450,12,26.0,0,1.0,68.0,145,2,
25000.0,10.126631,350,450,12,26.0,0,1.0,70.0,135,2,
26000.0,10.165852,550,550,12,26.0,0,0.0,74.0,340,3,
50000.0,10.819778,550,650,16,28.0,1,0.0,63.0,200,2,
50000.0,10.819778,550,550,17,28.0,1,0.0,63.0,160,3,
55000.0,10.915089,650,650,17,27.0,0,0.0,70.0,170,1,
130254.0,11.777242,550,750,16,28.0,0,0.0,69.0,167,1,
43000.0,10.668956,450,350,14,26.0,0,1.0,71.0,204,2,
40000.0,10.596635,350,350,12,28.0,1,1.0,68.0,175,1,
50000.0,10.819778,650,750,20,28.0,0,0.0,70.0,165,1,
49000.0,10.799576,450,450,16,28.0,1,1.0,60.0,245,3,
51000.0,10.839581,550,550,16,26.0,0,1.0,71.0,280,2,
130254.0,11.777242,550,650,17,28.0,1,0.0,66.0,142,1,
17000.0,9.740969,550,550,15,26.0,1,1.0,64.0,120,3,
68000.0,11.127263,650,650,17,28.0,0,0.0,72.0,205,1,27.5
47000.0,10.757903,650,750,18,28.0,1,0.0,65.0,220,2,
130254.0,11.777242,550,750,16,26.0,1,0.0,63.0,140,2,27.5
46000.0,10.736397,550,450,17,27.0,0,1.0,73.0,195,1,
22000.0,9.998797,350,450,12,28.0,0,0.0,68.0,175,3,
15000.0,9.615806,450,450,16,28.0,0,0.0,65.0,137,1,
15000.0,9.615806,750,750,16,27.0,1,0.0,64.0,106,3,
