year,sp500,lnsp500
1927.0,17.66,2.8713021
1928.0,24.35,3.1925318
1929.0,21.45,3.0657246
1930.0,15.34,2.7304637
1931.0,8.12,2.09433
1932.0,6.92,1.9344158
1933.0,9.97,2.2995806
1934.0,9.5,2.2512918
1935.0,13.43,2.597491
1936.0,17.18,2.843746
1937.0,10.55,2.3561258
1938.0,13.14,2.575661
1939.0,12.46,2.5225234
1940.0,10.58,2.3589654
1941.0,8.69,2.1621728
1942.0,9.77,2.2793164
1943.0,11.67,2.4570215
1944.0,13.28,2.5862591
1945.0,17.36,2.8541687
1946.0,15.3,2.7278528
1947.0,15.3,2.7278528
1948.0,15.2,2.7212954
1949.0,16.79,2.8207836
1950.0,20.41,3.016025
1951.0,23.77,3.1684244
1952.0,26.57,3.2797828
1953.0,24.81,3.2112467
1954.0,35.98,3.5829632
1955.0,45.48,3.8172727
1956.0,46.67,3.8431015
1957.0,39.99,3.6886294
1958.0,55.21,4.011144
1959.0,59.89,4.0925097
1960.0,58.11,4.062338
1961.0,71.55,4.2703967
1962.0,63.1,4.1447206
1963.0,75.02,4.3177547
1964.0,84.75,4.439706
1965.0,92.43,4.5264516
1966.0,80.33,4.386143
1967.0,96.47,4.569232
1968.0,103.86,4.643044
1969.0,92.06,4.5224404
1970.0,92.15,4.5234175
1971.0,102.09,4.625855
1972.0,118.05,4.771108
1973.0,97.55,4.580365
1974.0,68.56,4.2277093
1975.0,90.19,4.501919
1976.0,107.46,4.677119
1977.0,95.1,4.554929
1978.0,96.11,4.5654936
1979.0,107.94,4.681576
1980.0,135.76,4.9108887
1981.0,122.55,4.8085194
1982.0,140.64,4.946203
1983.0,164.93,5.105521
1984.0,167.24,5.11943
1985.0,211.28,5.353184
1986.0,242.17,5.4896398
1987.0,247.08,5.509712
1988.0,277.72,5.6266136
1989.0,353.4,5.8676004
1990.0,330.22,5.799759
1991.0,417.09,6.033302
1992.0,435.71,6.076977
1993.0,466.45,6.1451507
1994.0,459.27,6.129638
1995.0,615.93,6.4231334
1996.0,740.74,6.60765
1997.0,970.43,6.8777394
1998.0,1229.23,7.1141434
1999.0,1469.25,7.292507
2000.0,1320.28,7.1855993
2001.0,1148.08,7.045846
2002.0,879.82,6.7797174
2003.0,1111.92,7.0138435
2004.0,1211.92,7.0999613
2005.0,1248.29,7.12953
2006.0,1418.3,7.257214
2007.0,1468.36,7.2919016
2008.0,903.25,6.8059993
2009.0,1115.1,7.0166993
2010.0,1257.64,7.1369925
2011.0,1257.6,7.1369605
2012.0,1426.19,7.2627616
2013.0,1848.36,7.522054
2014.0,2058.9,7.629927
2015.0,2043.94,7.6226344
2016.0,2238.83,7.713709
2017.0,2673.61,7.891185
2018.0,2506.85,7.826782
2019.0,3230.78,8.080479
