month,year,day,hour,npx,niso,diff
4,1998,1,17,23.2588,23.29,0.031200409
4,1998,2,17,24.1785,18.64781,-5.5306892
4,1998,3,17,25.262,14.0,-11.261999
4,1998,4,17,21.6385,5.3,-16.338501
4,1998,5,17,20.9986,2.5,-18.4986
4,1998,6,17,25.4342,22.76052,-2.6736794
4,1998,7,17,23.8156,17.15058,-6.66502
4,1998,8,17,24.8113,10.12645,-14.684851
4,1998,9,17,26.4623,24.90248,-1.5598202
4,1998,10,17,24.2209,25.54891,1.3280106
4,1998,11,17,15.0079,40.37771,25.369808
4,1998,12,17,24.48,2.35753,-22.122469
4,1998,13,17,26.7039,25.86873,-0.83516884
4,1998,14,17,25.9703,24.79,-1.1802998
4,1998,15,17,26.3918,24.77106,-1.620739
4,1998,16,17,26.4902,28.34761,1.8574104
4,1998,17,17,28.2833,30.15747,1.8741703
4,1998,18,17,26.2414,23.68605,-2.5553493
4,1998,19,17,26.2322,23.79,-2.4421997
4,1998,20,17,33.2802,44.47698,11.196777
4,1998,21,17,31.8882,42.13926,10.251059
4,1998,22,17,27.8295,32.11863,4.2891293
4,1998,23,17,26.9276,26.75104,-0.17656136
4,1998,24,17,25.9763,22.0,-3.9762993
4,1998,25,17,13.2048,19.0768,5.8719997
4,1998,26,17,21.4963,22.57,1.0737
4,1998,27,17,35.9278,22.9,-13.0278
4,1998,28,17,32.3531,29.73955,-2.6135502
4,1998,29,17,27.47,33.5,6.0300007
4,1998,30,17,25.89,27.37458,1.484581
5,1998,1,17,22.08,7.0,-15.08
5,1998,2,17,10.0018,14.52411,4.5223103
5,1998,3,17,7.9954,12.75,4.7546
5,1998,4,17,23.2,32.64446,9.444458
5,1998,5,17,23.65,12.0,-11.65
5,1998,6,17,19.7354,23.59588,3.8604813
5,1998,7,17,22.0,0.43243,-21.56757
5,1998,8,17,18.59,0.0,-18.59
5,1998,9,17,16.9303,0.0,-16.9303
5,1998,10,17,11.1974,2.5,-8.6974
5,1998,11,17,21.83,14.0,-7.83
5,1998,12,17,17.35,7.0,-10.35
5,1998,13,17,15.5996,18.67,3.0704002
5,1998,14,17,15.4918,7.0,-8.4918
5,1998,15,17,14.7422,7.0,-7.7422
5,1998,16,17,4.9313,0.0,-4.9313
5,1998,17,17,4.9316,5.0,0.068399906
5,1998,18,17,19.77,0.0,-19.77
5,1998,19,17,18.7,22.0,3.2999992
5,1998,20,17,33.39,16.0,-17.39
5,1998,21,17,22.5047,15.0,-7.5046997
5,1998,22,17,20.99,14.0,-6.99
5,1998,23,17,9.3631,5.0,-4.3631
5,1998,24,17,9.4917,4.5,-4.9917
5,1998,25,17,4.4966,6.79,2.2933998
5,1998,26,17,21.99,6.79,-15.2
5,1998,27,17,17.61,20.81132,3.2013187
5,1998,28,17,15.4,4.45,-10.95
5,1998,29,17,9.4942,0.0,-9.4942
5,1998,30,17,7.8911,6.79,-1.1011
5,1998,31,17,5.996,12.33018,6.3341804
6,1998,1,17,25.12,21.04,-4.08
6,1998,2,17,21.71,2.34357,-19.366428
6,1998,3,17,16.0096,0.96199,-15.047609
6,1998,4,17,12.9915,0.5,-12.4915
6,1998,5,17,9.1755,9.70904,0.5335398
6,1998,6,17,6.507,3.0,-3.507
6,1998,7,17,7.996,2.79,-5.206
6,1998,8,17,12.0098,2.49,-9.5198
6,1998,9,17,7.3781,16.78,9.401901
6,1998,10,17,11.0,5.68336,-5.31664
6,1998,11,17,10.9922,4.93,-6.0622
6,1998,12,17,6.7971,4.2,-2.5971003
6,1998,13,17,5.2245,4.93,-0.29450035
6,1998,14,17,22.0738,16.57,-5.5037994
6,1998,15,17,26.01,43.0,16.99
6,1998,16,17,31.8893,6.65,-25.2393
6,1998,17,17,38.49,19.61807,-18.871931
6,1998,18,17,31.68,34.49538,2.81538
6,1998,19,17,27.99,24.45,-3.539999
6,1998,20,17,24.993,2.5,-22.493
6,1998,21,17,25.99,7.1,-18.89
6,1998,22,17,29.3,8.24,-21.06
6,1998,23,17,25.94,22.81922,-3.120781
6,1998,24,17,25.09,24.05,-1.0400009
6,1998,25,17,22.79,25.37,2.58
6,1998,26,17,25.73,23.55432,-2.1756802
6,1998,27,17,23.2169,30.24,7.0231
6,1998,28,17,20.9958,32.55351,11.557709
6,1998,29,17,27.57,27.52,-0.049999237
