month,dowjones,sp500,nasdaq,russell
1957-01-01,479.16,44.72,,
1957-02-01,464.62,43.26,,
1957-03-01,474.81,44.11,,
1957-04-01,494.36,45.74,,
1957-05-01,504.93,47.43,,
1957-06-01,503.29,47.37,,
1957-07-01,508.52,47.91,,
1957-08-01,484.35,45.22,,
1957-09-01,456.3,42.42,,
1957-10-01,441.04,41.06,,
1957-11-01,449.87,41.72,,
1957-12-01,435.69,39.99,,
1958-01-01,450.02,41.7,,
1958-02-01,439.92,40.84,,
1958-03-01,446.76,42.1,,
1958-04-01,455.86,43.44,,
1958-05-01,462.7,44.09,,
1958-06-01,478.18,45.24,,
1958-07-01,502.99,47.19,,
1958-08-01,508.63,47.75,,
1958-09-01,532.09,50.06,,
1958-10-01,543.22,51.33,,
1958-11-01,557.46,52.48,,
1958-12-01,583.65,55.21,,
1959-01-01,593.96,55.42,,
1959-02-01,603.5,55.41,,
1959-03-01,601.71,55.44,,
1959-04-01,623.75,57.59,,
1959-05-01,643.79,58.68,,
1959-06-01,643.6,58.47,,
1959-07-01,674.88,60.51,,
1959-08-01,664.41,59.6,,
1959-09-01,631.68,56.88,,
1959-10-01,646.6,57.52,,
1959-11-01,659.18,58.28,,
1959-12-01,679.36,59.89,,
1960-01-01,622.62,55.61,,
1960-02-01,630.12,56.12,,
1960-03-01,616.59,55.34,,
1960-04-01,601.7,54.37,,
1960-05-01,625.5,55.83,,
1960-06-01,640.62,56.92,,
1960-07-01,616.73,55.51,,
1960-08-01,625.99,56.96,,
1960-09-01,580.14,53.52,,
1960-10-01,580.36,53.39,,
1960-11-01,597.22,55.54,,
1960-12-01,615.89,58.11,,
1961-01-01,648.2,61.78,,
1961-02-01,662.08,63.44,,
1961-03-01,676.63,65.06,,
1961-04-01,678.71,65.31,,
1961-05-01,696.72,66.56,,
1961-06-01,683.96,64.64,,
1961-07-01,705.37,66.76,,
1961-08-01,719.94,68.07,,
1961-09-01,701.21,66.73,,
1961-10-01,703.92,68.62,,
1961-11-01,721.6,71.32,,
1961-12-01,731.14,71.55,,
1962-01-01,700.0,68.84,,
1962-02-01,708.05,69.96,,
1962-03-01,706.95,69.55,,
1962-04-01,665.33,65.24,,
1962-05-01,613.36,59.63,,
1962-06-01,561.28,54.75,,
1962-07-01,597.93,58.23,,
1962-08-01,609.18,59.12,,
1962-09-01,578.98,56.27,,
1962-10-01,589.77,56.52,,
1962-11-01,649.3,62.26,,
1962-12-01,652.1,63.1,,
1963-01-01,682.85,66.2,,
1963-02-01,662.94,64.29,,
1963-03-01,682.52,66.57,,
1963-04-01,717.7,69.8,,
1963-05-01,726.96,70.8,,
1963-06-01,706.88,69.37,,
1963-07-01,695.43,69.13,,
1963-08-01,729.32,72.5,,
1963-09-01,732.79,71.7,,
1963-10-01,755.23,74.01,,
1963-11-01,750.52,73.23,,
1963-12-01,762.95,75.02,,
1964-01-01,785.34,77.04,,
1964-02-01,800.14,77.8,,
1964-03-01,813.29,78.98,,
1964-04-01,810.77,79.46,,
1964-05-01,820.56,80.37,,
1964-06-01,831.5,81.69,,
1964-07-01,841.1,83.18,,
1964-08-01,838.48,81.83,,
1964-09-01,875.37,84.18,,
1964-10-01,873.08,84.86,,
1964-11-01,875.43,84.42,,
1964-12-01,874.13,84.75,,
1965-01-01,902.86,87.56,,
1965-02-01,903.48,87.43,,
