xbar,stdev,numobs
103.15932,11.649242,4.0
98.264114,19.55681,4.0
101.69086,16.434813,4.0
100.81246,18.364834,4.0
106.83208,10.241038,4.0
101.41672,6.756438,4.0
117.20416,22.9713,4.0
101.95801,21.50148,4.0
111.6946,11.63601,4.0
100.892975,20.136791,4.0
91.66745,9.160001,4.0
101.002945,14.366938,4.0
101.41367,30.58823,4.0
88.929504,6.056888,4.0
96.456024,8.788267,4.0
99.541336,10.223948,4.0
99.40051,16.86374,4.0
96.632126,6.103996,4.0
106.36319,14.638163,4.0
105.81932,9.711822,4.0
109.775055,14.851921,4.0
98.147964,6.274584,4.0
94.78171,8.31252,4.0
95.35592,20.309637,4.0
95.77759,8.053223,4.0
95.92546,10.869371,4.0
97.2775,12.283065,4.0
96.72772,10.25301,4.0
103.42107,17.658875,4.0
94.01977,19.677122,4.0
103.00139,20.220575,4.0
106.46573,12.038857,4.0
105.07339,3.3512397,4.0
84.01199,23.332615,4.0
101.32817,8.8268,4.0
112.42119,14.229622,4.0
99.97907,8.2399025,4.0
91.629745,15.36299,4.0
95.84999,14.196209,4.0
102.069435,15.231316,4.0
95.61661,14.652038,4.0
94.51781,11.610978,4.0
79.36131,9.306352,4.0
89.881584,12.460401,4.0
106.10669,11.419492,4.0
93.85609,9.885988,4.0
115.4793,32.873795,4.0
91.9145,12.708941,4.0
104.20735,14.205601,4.0
93.110275,12.897872,4.0
88.11479,6.3092294,4.0
93.97339,18.132027,4.0
94.35749,10.476994,4.0
88.651764,7.574114,4.0
93.32866,10.433826,4.0
94.030464,5.4161143,4.0
111.89698,14.900549,4.0
101.20068,16.794312,4.0
100.83004,15.415353,4.0
95.457436,23.65569,4.0
91.47425,10.850172,4.0
102.1819,20.746078,4.0
93.697105,6.739287,4.0
101.1151,10.933363,4.0
104.355606,13.179861,4.0
95.81455,13.540358,4.0
94.52567,10.506759,4.0
95.243454,12.5440445,4.0
94.60089,11.190069,4.0
90.15788,10.837602,4.0
97.17506,26.840607,4.0
90.713875,18.816893,4.0
100.174194,10.594523,4.0
97.578354,24.683167,4.0
96.725586,12.710686,4.0
103.245674,9.963124,4.0
99.57687,4.43693,4.0
99.0689,22.352428,4.0
92.896774,11.816765,4.0
103.52012,12.588814,4.0
92.54402,12.108258,4.0
102.67425,20.756353,4.0
96.91498,10.491669,4.0
91.505554,16.04108,4.0
101.94685,2.7976465,4.0
99.27055,23.194391,4.0
90.35823,14.258094,4.0
85.23486,15.088665,4.0
97.502525,16.481491,4.0
104.71267,12.848877,4.0
120.69348,39.26268,4.0
89.38276,14.308921,4.0
102.0146,9.088192,4.0
93.95789,23.274092,4.0
115.25523,17.844915,4.0
90.646545,9.187051,4.0
92.37739,18.090967,4.0
103.34484,22.071655,4.0
96.38923,16.020597,4.0
93.69669,14.087921,4.0
100.18341,8.914691,4.0
109.62268,4.5872407,4.0
100.03505,11.8419075,4.0
92.975296,20.890991,4.0
101.17432,22.370663,4.0
84.41469,25.844975,4.0
103.75119,12.949987,4.0
94.88385,18.621117,4.0
104.71428,12.009276,4.0
96.1297,23.854403,4.0
108.6378,12.78947,4.0
99.69339,12.749937,4.0
94.34772,22.494436,4.0
99.71358,20.439999,4.0
112.89927,16.263739,4.0
94.16072,18.190762,4.0
101.09156,8.7677145,4.0
99.01492,15.256169,4.0
97.84671,4.05606,4.0
95.28764,18.84277,4.0
108.27608,16.61299,4.0
104.63826,14.887551,4.0
108.19501,3.8263845,4.0
109.605606,14.939399,4.0
91.03716,10.382674,4.0
97.92183,12.410393,4.0
100.727,20.81439,4.0
95.377266,27.54105,4.0
91.55382,12.487632,4.0
97.50368,12.081,4.0
109.88718,18.348698,4.0
99.113754,15.72413,4.0
92.64694,17.204765,4.0
96.34413,2.2274086,4.0
102.742676,3.0441227,4.0
101.27664,12.177674,4.0
106.89095,28.54044,4.0
94.644424,7.7388554,4.0
108.70415,21.107714,4.0
101.42226,14.107148,4.0
102.60867,19.004147,4.0
110.7569,15.806253,4.0
99.84242,9.956211,4.0
103.911964,25.054417,4.0
106.533615,16.999384,4.0
103.25654,15.5342045,4.0
102.643,18.171879,4.0
111.25096,16.663412,4.0
103.822044,11.2411995,4.0
111.63635,18.639807,4.0
94.117134,20.112505,4.0
95.89839,22.112814,4.0
106.98733,21.004173,4.0
102.290825,8.127634,4.0
100.42493,13.210483,4.0
96.05276,16.008053,4.0
98.3128,12.148161,4.0
112.77288,9.526111,4.0
102.15986,25.518724,4.0
89.74069,22.148722,4.0
99.47705,12.674673,4.0
109.02518,11.506572,4.0
91.60089,16.644777,4.0
103.88191,9.7234,4.0
112.1935,10.448515,4.0
96.82173,19.22199,4.0
115.83989,10.800543,4.0
92.27944,10.119969,4.0
92.66139,8.703009,4.0
90.01109,8.047883,4.0
108.12456,10.592797,4.0
106.6437,14.072303,4.0
112.46938,10.559269,4.0
92.76209,9.134923,4.0
98.724236,12.68283,4.0
107.23204,22.943808,4.0
109.551125,9.988348,4.0
91.43532,8.37026,4.0
105.485954,3.3373535,4.0
92.07789,10.796535,4.0
93.21567,8.761451,4.0
109.82389,19.713095,4.0
105.30025,1.9511039,4.0
95.316765,21.731604,4.0
107.454956,9.081623,4.0
98.2507,14.94786,4.0
103.68707,9.833497,4.0
107.98467,12.3377,4.0
104.040405,18.193127,4.0
110.08435,6.9723463,4.0
119.14641,14.80903,4.0
95.2209,7.6854644,4.0
99.779755,10.750603,4.0
109.449844,16.57032,4.0
89.663895,12.486448,4.0
98.06644,11.306136,4.0
90.15578,14.164524,4.0
97.01468,7.855667,4.0
102.75018,14.989916,4.0
110.57374,9.346745,4.0
92.48812,5.6589327,4.0
106.44101,14.688566,4.0
97.259094,11.561779,4.0
106.429306,7.2079697,4.0
94.248024,8.142297,4.0
102.49565,14.60565,4.0
92.983025,23.69176,4.0
108.440506,16.835398,4.0
93.59369,6.669015,4.0
102.96586,12.7112055,4.0
105.71706,17.698282,4.0
92.60004,17.637785,4.0
102.95221,19.661673,4.0
102.19113,22.071032,4.0
100.62665,22.399862,4.0
106.90031,16.045744,4.0
100.745705,8.083432,4.0
95.4056,13.845233,4.0
89.74428,13.406795,4.0
107.3064,9.739623,4.0
108.89972,16.148449,4.0
100.824875,16.69615,4.0
88.06601,12.567146,4.0
102.544044,21.839108,4.0
89.06017,20.326275,4.0
92.270935,22.411448,4.0
91.53513,13.580991,4.0
93.074295,19.169138,4.0
110.18106,17.60781,4.0
106.71472,9.580679,4.0
104.8226,39.07339,4.0
89.89216,23.937483,4.0
107.68262,6.122093,4.0
95.4932,24.03362,4.0
105.19928,7.0331144,4.0
96.89048,23.120066,4.0
109.848175,13.977014,4.0
97.83619,30.425694,4.0
97.14926,9.755242,4.0
86.590744,13.529026,4.0
99.83772,18.745434,4.0
85.75224,19.722073,4.0
102.642654,8.215865,4.0
104.49431,1.9882582,4.0
110.9048,19.761225,4.0
103.231,14.330173,4.0
100.65895,12.409565,4.0
109.41264,12.327162,4.0
115.80957,15.369736,4.0
92.349495,10.306153,4.0
102.078575,18.689924,4.0
105.29245,18.278063,4.0
101.89012,16.244635,4.0
88.39855,12.76337,4.0
100.46344,18.119928,4.0
107.70576,16.226328,4.0
88.44954,12.098587,4.0
106.576035,11.4791155,4.0
98.60232,2.7370725,4.0
100.7717,30.788967,4.0
102.111,18.764427,4.0
92.535614,16.639698,4.0
96.330536,16.29554,4.0
104.55118,27.241714,4.0
91.90613,10.443805,4.0
103.78023,11.923242,4.0
96.066864,10.234246,4.0
100.07823,13.6640625,4.0
106.374115,6.0999875,4.0
68.015,16.854057,4.0
107.76744,21.95764,4.0
101.31235,12.539199,4.0
100.116806,2.1337714,4.0
97.109024,11.015447,4.0
93.12573,9.831394,4.0
92.59534,20.948017,4.0
100.608215,20.417944,4.0
93.61466,12.445232,4.0
102.26317,17.166964,4.0
92.46562,22.350447,4.0
85.03673,23.659447,4.0
97.47136,14.691967,4.0
99.42726,7.5033607,4.0
111.01047,10.456912,4.0
84.24638,16.672237,4.0
