state,stateid,q,k,l,lnq,lnk,lnl,year
Alabama,1.0,46819.39,5015.074,368.374,10.754053,8.520204,5.9090986,2014
Alabama,1.0,47901.17,3507.76,363.6,10.7768955,8.162733,5.8960543,2013
Alabama,1.0,45798.257,4074.287,357.518,10.732001,8.312451,5.8791857,2012
Alaska,2.0,1856.177,102.491,21.316,7.526274,4.629775,3.059458,2014
Alaska,2.0,1729.782,109.688,20.386,7.4557505,4.69764,3.0148485,2013
Alaska,2.0,1376.073,138.149,20.596,7.2269893,4.928333,3.025097,2012
Arizona,3.0,27582.838,2269.429,164.795,10.224949,7.7272835,5.1047025,2014
Arizona,3.0,26259.772,2725.895,160.191,10.175794,7.910552,5.076367,2013
Arizona,3.0,28153.138,1650.238,150.911,10.245414,7.4086747,5.0166903,2012
Arkansas,4.0,26507.14,1806.983,244.735,10.185169,7.499414,5.500176,2014
Arkansas,4.0,25304.286,1729.471,248.029,10.138729,7.4555707,5.5135455,2013
Arkansas,4.0,23366.566,1875.436,240.875,10.059061,7.5365963,5.484278,2012
California,5.0,245681.365,14057.421,1419.529,12.411791,9.550906,7.2580805,2014
California,5.0,241785.428,15503.218,1446.804,12.395806,9.648803,7.2771125,2013
California,5.0,236764.751,12939.285,1438.276,12.374823,9.468023,7.2712007,2012
Colorado,6.0,24928.392,1478.629,157.134,10.123763,7.2988706,5.057099,2014
Colorado,6.0,23674.496,1196.72,146.919,10.072154,7.08734,4.9898815,2013
Colorado,6.0,23418.145,1383.231,151.078,10.061267,7.2321773,5.017796,2012
Connecticut,7.0,33090.408,1509.357,191.136,10.406999,7.319439,5.252985,2014
Connecticut,7.0,33765.812,1281.351,196.459,10.427204,7.15567,5.2804537,2013
Connecticut,7.0,32421.463,1317.92,195.245,10.386576,7.18381,5.2742553,2012
Delaware,8.0,6288.081,292.333,36.569,8.746411,5.6778936,3.599201,2014
Delaware,8.0,5917.415,407.914,36.161,8.685655,6.0110564,3.5879812,2013
Delaware,8.0,6070.476,313.742,36.823,8.711192,5.748571,3.6061227,2012
District of Columbia,9.0,182.823,5.977,1.659,5.2085185,1.7879188,0.50621504,2014
District of Columbia,9.0,181.598,3.551,1.791,5.2017956,1.2672292,0.5827741,2013
District of Columbia,9.0,191.066,5.176,1.485,5.252619,1.6440326,0.39541477,2012
Florida,10.0,50297.122,3283.254,355.325,10.825703,8.09659,5.873033,2014
Florida,10.0,50613.373,2946.861,358.368,10.831971,7.988496,5.8815603,2013
Florida,10.0,47925.994,2667.857,355.724,10.777413,7.889031,5.874155,2012
Georgia,11.0,67175.969,4698.456,523.463,11.115071,8.454989,6.2604666,2014
Georgia,11.0,64123.34,5460.587,516.646,11.068563,8.605311,6.247358,2013
Georgia,11.0,62479.211,5264.316,507.499,11.042589,8.5687065,6.2294946,2012
Hawaii,12.0,1014.207,115.628,13.873,6.921862,4.750378,2.6299446,2014
Hawaii,12.0,1138.153,103.703,13.419,7.037162,4.641531,2.5966716,2013
Hawaii,12.0,1101.021,108.404,13.64,7.003993,4.685865,2.6130066,2012
Idaho,13.0,8612.867,865.879,77.756,9.061012,6.7637453,4.3535757,2014
Idaho,13.0,8844.663,906.084,78.717,9.087569,6.809132,4.365859,2013
Idaho,13.0,9150.338,1676.006,75.944,9.121546,7.424169,4.329996,2012
Illinois,14.0,112051.216,6758.587,771.031,11.626711,8.818569,6.6477284,2014
Illinois,14.0,110695.234,6895.92,776.211,11.614536,8.838685,6.654424,2013
Illinois,14.0,113272.425,6869.636,781.782,11.637551,8.834867,6.661576,2012
Indiana,15.0,108572.839,6979.271,723.882,11.595177,8.850699,6.5846286,2014
Indiana,15.0,100879.474,13263.979,709.22,11.521682,9.492807,6.5641656,2013
Indiana,15.0,96713.307,7284.532,690.001,11.4795065,8.893509,6.536693,2012
Iowa,16.0,46533.64,4198.259,303.811,10.747931,8.342425,5.716406,2014
Iowa,16.0,43181.672,3729.674,300.153,10.673171,8.224076,5.7042923,2013
Iowa,16.0,45504.33,2749.618,301.599,10.725563,7.919217,5.7090983,2012
Kansas,17.0,32572.472,3976.935,237.579,10.391223,8.288267,5.4705,2014
Kansas,17.0,28680.169,3122.353,230.387,10.263961,8.046342,5.4397607,2013
Kansas,17.0,32070.177,1872.132,217.787,10.375682,7.534833,5.3835177,2012
Kentucky,18.0,45705.147,3982.38,350.734,10.729966,8.289635,5.8600283,2014
Kentucky,18.0,44106.534,3314.281,341.565,10.694364,8.105996,5.833538,2013
Kentucky,18.0,43031.007,4129.081,331.213,10.669676,8.32581,5.8027616,2012
Louisiana,19.0,49666.142,5907.8,192.812,10.813079,8.684029,5.2617154,2014
Louisiana,19.0,54306.804,5390.752,194.368,10.902405,8.592441,5.2697535,2013
Louisiana,19.0,69159.558,5248.567,200.755,11.144172,8.56571,5.3020854,2012
Maine,20.0,8170.005,448.686,70.975,9.0082245,6.1063232,4.2623277,2014
Maine,20.0,7935.909,404.339,70.986,8.979154,6.0022535,4.2624826,2013
Maine,20.0,7877.218,449.716,71.828,8.97173,6.1086164,4.2742743,2012
Maryland,21.0,21804.071,1279.221,113.802,9.989852,7.1540065,4.73446,2014
